Rank,"Name, Team",Cl,Ht,Pos,G,FGM,3FG,FT,PTS,PPG
61.0,"John Collins, Wake Forest",So.,2023-06-10 00:00:00,C,33,234,0,164,632,19.2
62.0,"T.J. Cromer, ETSU",Sr.,2023-06-03 00:00:00,G,35,224,106,116,670,19.1
63.0,"Marcus Evans, Rice",So.,2023-06-02 00:00:00,G,35,197,86,185,665,19.0
,"Semi Ojeleye, SMU",Jr.,2023-06-07 00:00:00,F,35,210,73,172,665,19.0
,"Mark Alstork, Wright St.",Jr.,2023-06-05 00:00:00,G,32,181,70,176,608,19.0
66.0,"Jimmy Hall, Kent St.",Sr.,2023-06-08 00:00:00,F,36,267,3,146,683,19.0
67.0,"Quincy McKnight, Sacred Heart",So.,2023-06-04 00:00:00,G,32,203,27,172,605,18.9
68.0,"Jairus Lyles, UMBC",Jr.,2023-06-02 00:00:00,G,32,210,45,139,604,18.9
69.0,"Nick Dixon, UTRGV",Jr.,2023-06-02 00:00:00,G,32,201,28,173,603,18.8
70.0,"J.J. Frazier, Georgia",Sr.,2023-05-10 00:00:00,G,34,199,55,187,640,18.8
71.0,"Fred Sims, Jr., Chicago St.",So.,2023-06-04 00:00:00,G,31,210,71,92,583,18.8
72.0,"Elijah Brown, New Mexico",Jr.,2023-06-04 00:00:00,G,31,166,68,182,582,18.8
73.0,"Josh Hart, Villanova",Sr.,2023-06-05 00:00:00,G,36,236,74,127,673,18.7
74.0,"Jerome Robinson, Boston College",So.,2023-06-05 00:00:00,G,32,213,54,117,597,18.7
75.0,"Matt Mooney, South Dakota",So.,2023-06-03 00:00:00,G,34,222,76,114,634,18.6
76.0,"Torian Graham, Arizona St.",Sr.,2023-06-04 00:00:00,G,33,230,108,46,614,18.6
77.0,"Fletcher Magee, Wofford",So.,2023-06-04 00:00:00,G,33,196,112,109,613,18.6
78.0,"Nick Mayo, Eastern Ky.",So.,2023-06-09 00:00:00,F,31,203,32,137,575,18.5
79.0,"Matt Mobley, St. Bonaventure",Jr.,2023-06-03 00:00:00,G,32,176,86,155,593,18.5
80.0,"T.J. Cline, Richmond",Sr.,2023-06-09 00:00:00,F,35,243,48,114,648,18.5
81.0,"Brandon Goodwin, FGCU",Jr.,2023-06-02 00:00:00,G,34,219,55,136,629,18.5
82.0,"Trevon Bluiett, Xavier",Jr.,2023-06-06 00:00:00,G,36,212,91,150,665,18.5
83.0,"Andrew White III, Syracuse",Sr.,2023-06-07 00:00:00,G,34,199,112,118,628,18.5
84.0,"Caleb Swanigan, Purdue",So.,2023-06-09 00:00:00,F,35,222,38,164,646,18.5
85.0,"Donte McGill, FIU",Sr.,2023-06-03 00:00:00,G,27,182,26,105,495,18.3
86.0,"Tyler Cavanaugh, George Washington",Sr.,2023-06-09 00:00:00,F,35,200,67,173,640,18.3
87.0,"Justin Jackson, North Carolina",Jr.,2023-06-08 00:00:00,F,40,264,105,98,731,18.3
88.0,"Marcus Foster, Creighton",Jr.,2023-06-03 00:00:00,G,35,245,73,75,638,18.2
89.0,"Yante Maten, Georgia",Jr.,2023-06-08 00:00:00,F,29,179,21,149,528,18.2
90.0,"Egor Koulechov, Rice",Jr.,2023-06-05 00:00:00,F,35,208,81,140,637,18.2
91.0,"Jamel Artis, Pittsburgh",Sr.,2023-06-07 00:00:00,F,32,196,74,116,582,18.2
92.0,"Dennis Smith, Jr., NC State",Fr.,2023-06-03 00:00:00,G,32,191,55,143,580,18.1
,"Justin Wright-Foreman, Hofstra",So.,2023-06-02 00:00:00,G,32,208,67,97,580,18.1
94.0,"Preston Parks, The Citadel",Fr.,2023-06-02 00:00:00,G,30,185,77,96,543,18.1
95.0,"Jared Brownridge, Santa Clara",Sr.,2023-06-02 00:00:00,G,33,190,106,111,597,18.1
96.0,"Derrick White, Colorado",Sr.,2023-06-05 00:00:00,G,34,205,57,148,615,18.1
97.0,"Matt Morgan, Cornell",So.,2023-06-03 00:00:00,G,28,165,86,90,506,18.1
98.0,"Rodney Pryor, Georgetown",Sr.,2023-06-05 00:00:00,G,32,212,84,69,577,18.0
