RK,Unnamed: 1,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,Unnamed: 17,Unnamed: 18,2014,Drafted?,Draft Pick,Draft Year
1,Doug McDermott,F,35,33.7,26.7,9.4,17.9,52.6,2.7,6.1,44.9,5.1,5.9,86.4,7.0,1.6,Yes,11.0,2014.0,Yes,11.0,2014.0
2,Antoine Mason,G,33,37.6,25.6,8.2,18.5,44.0,1.5,5.1,28.6,7.9,10.8,72.8,3.6,1.5,,,,,,
3,T.J. Warren,F,35,35.4,24.9,9.8,18.6,52.5,0.9,3.3,26.7,4.5,6.5,69.0,7.1,1.1,Yes,14.0,2014.0,Yes,14.0,2014.0
4,Billy Baron,G,34,39.0,24.1,7.3,15.6,46.4,3.1,7.5,42.1,6.5,7.3,88.4,4.9,5.3,,,,,,
5,Patrick Miller,G,30,37.7,23.7,7.7,17.1,44.7,1.5,4.4,33.6,6.9,8.9,77.6,4.5,4.1,,,,,,
6,Tyler Haws,G,33,34.6,23.2,7.6,16.5,46.3,1.2,3.0,40.4,6.8,7.7,88.1,3.8,1.5,,,,,,
7,D.J. Balentine,G,33,37.9,22.8,6.9,16.0,43.4,2.4,5.9,39.8,6.5,7.7,84.7,2.7,4.2,,,,,,
8,Tyler Harvey,G,31,37.4,21.8,6.6,15.0,44.3,3.5,8.1,43.3,5.0,5.6,89.7,4.2,2.7,Yes,51.0,2015.0,,,
9,Bryce Cotton,G,35,39.9,21.8,6.6,15.7,41.9,2.2,6.0,36.7,6.5,7.6,85.3,3.5,5.9,,,,,,
10,Aaric Murray,C,34,32.0,21.6,7.1,14.4,49.1,0.9,2.7,33.7,6.6,8.9,74.1,7.5,1.2,,,,,,
11,Kendrick Perry,G,32,36.5,21.3,6.7,13.3,50.6,1.9,5.4,35.6,5.9,8.1,73.6,4.1,4.4,,,,,,
12,Shawn Glover,F,33,34.9,21.3,8.3,16.6,49.9,0.8,1.6,48.1,4.0,4.8,83.0,5.8,1.5,,,,,,
13,Alan Williams,C,28,31.1,21.3,8.0,15.0,53.3,0.0,0.0,0.0,5.3,7.7,68.5,11.5,1.2,,,,,,
14,James Daniel,F,28,31.8,21.0,5.5,15.0,36.8,3.3,8.3,39.4,6.6,8.3,79.8,2.5,1.6,,,,,,
15,Jeremy Ingram,G,34,34.4,20.8,6.2,14.2,43.9,2.0,5.4,37.0,6.4,8.2,77.1,3.8,1.2,,,,,,
16,Roberto Nelson,G,32,32.9,20.7,6.3,14.0,44.7,1.8,4.5,39.9,6.4,7.8,82.4,3.4,3.6,,,,,,
17,Travis Bader,G,33,37.6,20.6,5.6,14.5,38.6,4.5,10.9,40.8,5.0,5.3,94.3,2.8,1.4,,,,,,
18,Sean Kilpatrick,G,34,33.8,20.6,6.3,14.9,42.3,2.7,7.9,34.8,5.3,6.3,84.5,4.3,2.5,,,,,,
19,Cameron Bairstow,F,34,32.9,20.4,7.0,12.5,55.6,0.0,0.1,33.3,6.4,8.8,73.5,7.4,1.6,Yes,49.0,2014.0,Yes,49.0,2014.0
20,Denzel Livingston,G,27,32.9,20.3,6.4,12.9,49.9,2.0,5.1,39.4,5.4,7.0,76.8,6.4,3.8,,,,,,
21,Reger Dowell,G,30,30.9,20.3,6.5,16.0,40.5,3.2,9.0,35.4,4.1,5.4,76.5,2.5,2.2,,,,,,
21,Keifer Sykes,G,30,34.3,20.3,6.5,13.9,46.9,1.0,3.2,30.9,6.3,7.7,81.0,4.4,4.9,,,,,,
23,Andrew Rowsey,G,32,36.1,20.3,6.3,14.7,42.9,3.3,8.2,40.5,4.3,5.2,83.6,3.7,2.9,,,,,,
24,Jordan Downing,G-F,32,37.2,20.2,7.3,16.9,43.4,2.5,6.8,36.7,3.0,3.7,81.5,4.5,1.9,,,,,,
25,Stephen Madison,F,34,34.5,20.1,6.4,13.4,47.7,1.1,3.5,32.5,6.1,8.1,76.0,7.6,2.4,,,,,,
26,D.J. Covington,F,35,29.7,20.1,7.7,12.9,59.3,0.0,0.1,0.0,4.8,6.9,69.7,9.3,0.8,,,,,,
27,Deonte Burton,G,32,38.6,20.1,6.7,14.3,47.1,1.5,4.9,31.4,5.1,6.9,74.2,4.3,4.4,,,,,,
28,Jabari Brown,G,35,37.0,19.9,5.8,12.4,46.7,2.3,5.6,41.0,6.1,7.6,79.7,4.4,1.9,,,,,,
29,Zeke Upshaw,G,33,36.5,19.8,6.0,14.8,40.3,2.8,7.9,34.9,5.2,6.8,75.6,4.2,1.8,,,,,,
30,Karvel Anderson,G,36,30.6,19.7,6.9,13.5,51.0,3.3,7.1,46.3,2.6,3.1,84.1,3.3,1.4,,,,,,
31,Devon Saddler,G,28,37.0,19.7,6.8,15.5,43.9,1.7,4.6,36.7,4.5,6.3,71.0,4.3,3.6,,,,,,
32,Isiah Umipig,G,30,33.1,19.5,6.1,15.8,38.8,3.5,9.6,36.9,3.7,4.5,82.8,2.7,3.6,,,,,,
33,John Brown,F,31,31.8,19.5,7.2,13.3,54.5,0.0,0.2,0.0,5.0,6.7,74.5,7.7,1.9,,,,,,
34,Jelani Hewitt,G,34,33.9,19.4,6.2,15.3,40.6,2.5,6.9,36.0,4.5,5.4,83.2,4.4,3.1,,,,,,
35,Davon Usher,G,35,36.6,19.4,6.2,13.7,45.1,2.4,6.7,36.3,4.6,6.2,74.3,6.1,1.8,,,,,,
36,Jalan West,G,31,32.9,19.4,5.9,12.8,46.3,2.3,5.5,40.9,5.3,6.0,87.6,4.0,6.4,,,,,,
37,Tyler Stone,F,30,33.5,19.3,7.4,13.7,54.4,0.8,2.3,33.8,3.6,5.1,71.2,9.5,1.9,,,,,,
38,Davion Berry,G,31,33.2,19.2,5.3,11.3,46.4,2.0,5.1,38.9,6.7,8.2,82.3,4.2,3.9,,,,,,
39,Elfrid Payton,G,35,35.9,19.2,6.8,13.3,50.9,0.4,1.5,25.9,5.3,8.6,60.9,6.0,5.9,Yes,10.0,2014.0,Yes,10.0,2014.0
40,Troy Huff,G,34,29.2,19.2,6.2,13.7,45.0,1.2,4.1,30.2,5.6,7.4,76.0,6.8,1.2,,,,,,
41,Jabari Parker,F,35,30.7,19.1,6.7,14.3,47.3,1.1,3.0,35.8,4.6,6.1,74.8,8.7,1.2,Yes,2.0,2014.0,Yes,2.0,2014.0
42,Sidney Sanders Jr,G,31,33.6,19.1,6.5,15.7,41.6,1.0,2.9,34.8,5.1,6.8,75.2,3.8,5.8,,,,,,
43,David Brown,G,33,34.0,19.1,5.3,13.0,41.1,2.4,7.5,32.4,6.0,7.8,77.1,3.5,1.8,,,,,,
44,Chris Denson,G,30,32.0,19.1,6.2,13.5,46.1,0.7,2.8,26.5,5.9,8.9,65.7,4.3,2.4,,,,,,
44,Stephen Croone,G,30,33.3,19.1,5.8,12.5,46.8,1.0,3.1,32.3,6.4,8.5,75.0,4.4,3.7,,,,,,
46,De'Mon Brooks,F,27,26.8,19.0,6.4,10.9,58.6,0.5,1.1,45.2,5.7,7.7,74.4,7.1,1.4,,,,,,
47,Marshall Henderson,G,30,31.1,19.0,5.7,16.2,35.3,4.3,12.6,34.2,3.3,4.0,81.7,1.9,2.0,,,,,,
48,Pablo Bertone,G,30,33.8,19.0,6.9,15.3,45.1,1.7,5.1,33.8,3.5,4.8,72.7,3.9,2.1,,,,,,
48,Jarekious Bradley,G,32,31.3,19.0,6.8,13.7,49.8,2.3,6.3,37.3,3.0,3.9,77.6,6.3,1.6,,,,,,
50,QJ Peterson,G,35,32.9,19.0,6.2,15.7,39.7,2.2,7.0,32.0,4.3,5.7,75.8,5.6,2.1,,,,,,
51,Justin Black,G,31,33.9,18.9,6.5,14.3,45.2,1.7,5.7,29.4,4.4,7.3,60.0,5.1,2.8,,,,,,
52,Joe Young,G,34,31.1,18.9,6.1,12.6,48.0,2.2,5.4,41.5,4.6,5.2,88.1,2.8,1.9,Yes,43.0,2015.0,,,
53,Dyami Starks,G,30,36.3,18.9,6.4,15.5,41.5,2.9,8.0,36.8,3.1,3.6,86.0,3.4,2.0,,,,,,
54,Rodney Glasgow,G,35,36.9,18.9,6.6,13.8,48.0,2.5,6.2,39.6,3.1,3.6,87.3,4.0,5.9,,,,,,
55,George Beamon,G,30,30.9,18.8,5.7,13.9,40.8,1.8,4.8,37.1,5.7,6.9,82.7,6.5,0.8,,,,,,
