RK,Unnamed: 1,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,Unnamed: 20,Unnamed: 21,2010,Drafted?,Draft Pick,Draft Year
301,Keith Cothran,G,36,30.6,14.3,5.3,12.3,42.7,1.2,3.9,31.7,2.6,3.8,68.1,3.4,2.1,1.7,0.5,1.5,,,,,,
302,Chad Gray,F,34,23.5,14.3,5.6,10.9,51.5,0.5,1.6,30.4,2.6,4.3,60.7,4.8,0.7,0.5,0.8,1.9,,,,,,
303,Ben Stywall,F,31,33.9,14.3,5.2,10.7,48.6,0.0,0.3,12.5,3.9,5.8,67.2,10.4,1.0,1.5,0.6,2.5,,,,,,
304,Patrick Patterson,F,38,33.0,14.3,5.7,9.8,57.5,0.6,1.8,34.8,2.4,3.4,69.2,7.4,0.9,0.7,1.3,1.1,Yes,14.0,2010.0,Yes,14.0,2010.0
305,Bobby Howard,F,29,31.7,14.3,5.6,10.8,51.8,1.3,4.0,33.3,1.8,3.0,59.8,5.8,1.2,0.3,0.1,1.7,,,,,,
306,Solomon Bozeman,G,30,32.6,14.3,3.8,9.9,38.2,1.5,4.6,33.3,5.2,6.4,81.7,2.9,4.1,1.0,0.0,2.6,,,,,,
307,Ryan Brooks,G,35,36.2,14.3,5.1,12.4,41.3,1.6,5.0,31.8,2.4,3.0,81.0,4.2,2.3,0.8,0.1,1.2,,,,,,
308,Sergio Kerusch,F,20,28.9,14.3,5.3,11.6,45.3,1.9,5.4,35.5,1.9,3.0,61.7,7.2,0.8,0.6,0.1,0.8,,,,,,
309,Sylvester Seay,F,33,29.4,14.2,5.1,11.3,45.2,1.1,3.8,28.6,3.0,4.1,72.1,6.1,1.5,1.0,1.1,2.1,,,,,,
310,DeAndre Mays,G,30,31.6,14.2,4.5,12.8,35.4,1.4,4.2,34.4,3.7,5.1,73.2,3.3,3.4,0.9,0.3,3.0,,,,,,
310,Raymond Taylor,G,30,32.7,14.2,4.7,12.3,38.5,2.0,5.3,38.6,2.7,3.7,73.2,3.0,5.9,1.4,0.0,3.1,,,,,,
312,MarShon Brooks,G-F,31,26.6,14.2,5.4,11.6,46.7,1.5,4.2,35.1,1.9,2.7,71.1,4.2,1.4,1.3,0.5,1.7,Yes,25.0,2011.0,,,
313,Ceola Clark,G,27,35.5,14.2,4.6,9.7,47.1,1.9,4.7,40.6,3.1,4.1,75.0,5.0,3.2,2.7,0.2,1.6,,,,,,
314,Justin Stommes,G-F,33,32.4,14.2,4.8,9.2,52.1,1.8,4.5,41.5,2.7,3.5,77.6,3.8,3.5,1.0,0.3,2.3,,,,,,
315,Theo Robertson,F,29,33.9,14.2,4.7,9.3,49.8,1.7,3.7,45.3,3.2,4.1,79.7,4.7,2.3,0.6,0.1,2.0,,,,,,
315,Vaughn Duggins,G,29,33.6,14.2,4.9,10.6,46.7,1.7,4.4,38.3,2.7,3.3,81.1,3.1,2.9,1.3,0.1,1.8,,,,,,
317,Joseph Harris,F,35,30.9,14.2,5.7,10.9,52.2,0.1,0.2,42.9,2.7,4.3,62.3,9.6,1.4,1.9,0.9,1.5,,,,,,
317,Jheryl Wilson,G,30,34.0,14.2,5.0,13.0,38.4,1.5,4.6,32.1,2.7,4.2,65.1,5.2,2.5,1.1,0.2,2.8,,,,,,
