RK,NAME,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,Unnamed: 20,Unnamed: 21,2004,Drafted?,Draft Pick,Draft Year
1,Keydren Clark,G,29,38.8,26.7,8.0,19.4,41.5,3.9,10.2,38.0,6.8,8.1,83.8,4.3,4.3,1.8,0.1,3.4,,,,,,
2,Kevin Martin,G,27,31.2,24.9,7.7,16.3,47.4,1.9,5.6,33.6,7.6,9.3,81.7,4.8,1.7,1.9,0.3,3.1,Yes,26.0,2004.0,Yes,26.0,2004.0
3,David Hawkins,G,29,38.9,24.4,7.7,19.7,39.2,2.9,9.5,30.4,6.1,8.1,75.6,5.1,2.8,2.7,0.3,2.6,,,,,,
4,Taylor Coppenrath,F,24,36.3,24.1,8.5,16.6,51.0,0.6,2.0,29.8,6.6,8.8,75.0,7.2,1.4,1.3,0.6,2.2,,,,,,
5,Luis Alberto Flores,G,31,36.2,24.0,7.5,17.1,44.2,2.2,5.9,37.4,6.7,7.8,86.3,3.9,1.6,1.9,0.1,2.4,,,,,,
6,Michael Watson,G,29,37.9,23.4,7.8,19.2,40.3,3.3,8.9,37.4,4.6,5.3,86.5,3.4,3.6,1.4,0.2,2.8,,,,,,
7,Mike Helms,G,30,30.7,23.2,7.5,18.5,40.3,2.6,7.6,34.6,5.6,7.5,75.0,3.6,2.4,1.5,0.5,2.7,,,,,,
8,Odell Bradley,F,29,37.6,23.1,8.1,16.8,48.3,1.1,3.4,31.3,5.9,7.7,76.2,8.5,2.3,0.8,0.2,3.4,,,,,,
9,Ike Diogu,F-C,27,36.9,22.8,6.6,12.5,53.0,0.5,1.4,37.8,9.0,11.0,81.5,8.9,1.6,0.5,1.7,3.7,Yes,9.0,2005.0,,,
10,Derrick Tarver,G,27,31.3,22.7,7.3,14.8,49.0,1.7,5.6,31.1,6.4,8.5,75.2,2.9,1.6,0.9,0.0,2.8,,,,,,
11,Bryant Matthews,G-F,29,35.4,22.1,7.6,16.0,47.3,1.1,3.0,36.0,5.9,8.9,66.4,8.9,1.5,2.5,0.8,3.0,,,,,,
12,Andrew Wisniewski,G,28,35.0,21.9,7.0,13.7,51.2,2.4,5.6,41.8,5.5,7.0,78.6,3.5,4.3,1.6,0.0,3.1,,,,,,
