RK,Unnamed: 1,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,Unnamed: 17,Unnamed: 18,2016,Drafted?,Draft Pick,Draft Year
1,James Daniel,F,30,37.2,27.1,7.5,19.4,38.8,2.7,8.0,33.2,9.3,11.0,84.6,2.2,2.8,,,,,,
2,Buddy Hield,G,37,35.4,25.0,8.1,16.2,50.1,4.0,8.7,45.7,4.8,5.4,88.0,5.7,2.0,Yes,6.0,2016.0,Yes,6.0,2016.0
3,Kay Felder,G,35,36.7,24.4,7.7,17.5,44.0,2.2,6.1,35.5,6.8,8.1,84.8,4.3,9.3,Yes,54.0,2016.0,Yes,54.0,2016.0
4,Josh Adams,G,31,36.3,24.2,7.1,16.1,44.2,3.2,8.4,37.8,6.8,8.3,82.1,5.6,4.3,,,,,,
5,Stefan Moody,G,31,34.6,23.6,6.7,16.4,40.9,3.3,8.8,37.9,6.8,8.3,82.8,3.2,4.3,,,,,,
6,Cat Barber,G,33,38.7,23.5,7.5,17.3,43.4,1.3,3.6,36.1,7.2,8.3,86.5,4.6,4.5,,,,,,
7,Jack Gibbs,G,31,35.5,23.5,7.9,18.2,43.2,2.6,7.9,33.5,5.1,6.1,84.0,4.1,4.9,,,,,,
8,Cane Broome,G,30,37.5,23.1,7.9,17.7,44.5,2.2,7.1,31.1,5.2,6.8,76.8,4.9,2.9,,,,,,
9,Obi Emegano,G,29,35.4,23.1,7.2,16.7,43.4,1.8,4.6,38.1,6.8,8.0,85.3,5.1,1.8,,,,,,
10,A.J. English,G,28,35.9,22.6,6.8,15.7,43.3,3.4,9.1,37.0,5.6,6.8,83.6,5.0,6.2,,,,,,
11,Zeek Woodley,G,28,33.0,22.2,7.7,14.5,53.1,2.0,5.0,40.7,4.8,5.4,88.7,5.2,1.6,,,,,,
12,Kevin Punter,G,26,34.1,22.2,6.8,14.8,46.0,2.2,6.0,36.9,6.3,7.8,81.7,3.5,3.5,,,,,,
13,Trey Freeman,G,38,35.1,22.1,8.5,19.8,42.9,1.3,3.8,34.9,3.7,4.5,82.9,4.2,3.0,,,,,,
14,Elijah Brown,G,32,33.7,21.7,6.1,14.2,42.8,2.8,7.1,39.4,6.8,8.0,85.1,5.5,3.1,,,,,,
15,Grayson Allen,G,36,36.6,21.6,6.6,14.3,46.6,2.5,6.0,41.7,5.9,7.0,83.7,4.6,3.5,Yes,21.0,2018.0,,,
16,Marcus Evans,G,32,33.5,21.4,7.0,14.8,47.0,1.6,5.3,30.6,5.8,7.3,79.6,4.0,2.8,,,,,,
17,Ben Bentil,F,35,34.2,21.1,7.0,15.2,46.2,1.5,4.5,32.9,5.5,7.1,78.2,7.7,1.1,Yes,51.0,2016.0,Yes,51.0,2016.0
18,Austin McBroom,G,33,37.4,21.0,6.4,14.8,43.4,3.5,8.7,40.2,4.6,5.6,83.2,2.5,3.7,,,,,,
19,Andrew Andrews,G,34,33.8,20.9,5.3,13.6,39.3,2.3,5.6,40.1,8.0,9.4,85.0,5.7,4.9,,,,,,
20,Marvelle Harris,G,35,36.7,20.7,6.9,16.8,40.7,1.9,5.8,32.5,5.1,6.8,75.2,4.7,4.5,,,,,,
21,Jared Brownridge,G,31,35.8,20.6,6.3,15.8,39.7,2.9,7.6,38.6,5.1,6.2,83.2,3.2,2.3,,,,,,
22,D.J. Balentine,G,34,37.1,20.5,7.1,16.0,44.2,1.7,5.0,33.9,4.7,6.0,78.4,3.3,4.4,,,,,,
23,Georges Niang,F,35,33.2,20.5,8.1,14.8,54.6,1.6,4.1,39.2,2.7,3.4,80.7,6.2,3.3,Yes,50.0,2016.0,Yes,50.0,2016.0
24,Kyle Wiltjer,F,36,33.6,20.4,7.2,14.7,49.1,2.5,5.7,43.7,3.5,4.1,85.7,6.3,1.5,,,,,,
25,Khallid Hart,G,28,36.5,20.3,5.9,13.2,44.4,2.6,6.7,38.3,6.0,7.2,84.1,2.6,2.1,,,,,,
26,Pascal Siakam,F,34,34.5,20.3,8.1,15.0,53.9,0.1,0.4,20.0,4.0,5.9,67.8,11.6,1.7,Yes,27.0,2016.0,Yes,27.0,2016.0
27,Cameron Morse,G,30,33.5,20.3,6.7,14.2,47.1,2.1,5.2,41.3,4.7,5.8,81.1,2.7,3.1,,,,,,
27,Devin Watson,G,30,34.7,20.3,6.4,15.3,41.8,2.2,6.2,34.9,5.3,7.2,73.3,2.5,4.9,,,,,,
29,Desean Murray,F,31,29.1,20.2,7.5,13.8,54.3,0.0,0.2,0.0,5.3,6.8,77.3,7.4,1.7,,,,,,
30,Ethan Telfair,G,31,35.7,20.2,5.8,14.5,39.8,2.0,5.3,38.7,6.6,7.6,86.9,4.0,5.4,,,,,,
31,Jordan Howard,G,28,34.9,20.2,6.3,14.7,42.6,3.4,7.9,42.8,4.3,4.9,87.6,3.4,2.8,,,,,,
32,James Kelly Sr,F,33,30.6,20.1,7.9,14.5,54.3,1.5,4.8,30.8,2.8,3.8,74.6,9.8,1.2,,,,,,
33,Quinton Hooker,G,32,35.5,20.1,6.6,13.5,48.7,1.6,4.2,38.3,5.3,6.2,85.8,4.9,3.5,,,,,,
34,Jamal Murray,G,36,35.2,20.0,6.8,14.9,45.4,3.1,7.7,40.8,3.3,4.2,78.3,5.2,2.2,Yes,7.0,2016.0,Yes,7.0,2016.0
35,Jameel Warney,F,33,32.9,19.8,8.2,13.1,63.0,0.0,0.0,0.0,3.4,5.4,62.4,10.8,1.6,,,,,,
36,QJ Peterson,G,30,33.7,19.8,6.3,15.6,40.5,2.8,7.7,36.1,4.5,4.9,90.5,6.3,2.8,,,,,,
37,Tanner Plomb,F,28,31.4,19.8,6.8,16.0,42.3,2.9,8.1,35.2,3.4,4.6,73.6,5.8,1.5,,,,,,
38,Alex Hamilton,G,33,35.3,19.8,6.4,12.9,49.6,1.0,3.5,29.8,5.9,8.4,70.8,5.7,6.2,,,,,,
39,Dikembe Dixson,F,30,36.7,19.8,6.4,17.3,36.9,1.4,4.5,30.4,5.6,8.5,66.0,7.3,1.8,,,,,,
40,Dallas Moore,G,34,35.6,19.8,7.5,14.6,51.6,1.9,4.8,39.5,2.8,4.0,71.1,4.0,6.0,,,,,,
41,Marcus Posley,G,31,37.2,19.6,6.4,15.2,41.8,2.6,7.4,36.0,4.3,5.3,80.6,3.4,3.6,,,,,,
42,John Brown,F,28,29.6,19.6,7.6,12.6,60.2,0.0,0.0,100.0,4.4,6.3,70.1,7.1,2.2,,,,,,
43,Nathan Boothe,C,32,31.5,19.3,7.5,15.2,49.6,1.0,2.8,37.5,3.2,3.9,82.4,9.0,3.4,,,,,,
44,Anthony Beane,G,32,34.3,19.3,6.5,15.0,43.2,2.3,6.1,37.1,4.0,5.3,76.8,3.8,1.8,,,,,,
45,Justin DeVaughn Robinson,G,36,32.9,19.3,5.9,13.6,43.9,2.2,5.6,39.4,5.1,6.1,84.5,3.8,3.7,,,,,,
46,Cameron Forte,F,31,29.3,19.2,7.9,13.6,58.0,0.0,0.1,50.0,3.5,6.3,55.2,9.3,2.6,,,,,,
46,Jordan Price,G,31,37.7,19.2,6.3,16.1,39.0,2.9,7.9,36.5,3.8,5.3,71.8,5.5,3.0,,,,,,
48,Denzel Valentine,G,31,33.0,19.2,6.6,14.3,46.2,3.4,7.5,44.4,2.6,3.1,85.3,7.5,7.8,Yes,14.0,2016.0,Yes,14.0,2016.0
49,Ben Simmons,F,33,34.9,19.2,6.5,11.7,56.0,0.0,0.1,33.3,6.0,9.0,67.0,11.8,4.8,Yes,1.0,2016.0,Yes,1.0,2016.0
50,Ladarius Tabb,G,29,34.5,18.9,6.9,15.8,44.0,1.6,5.3,29.4,3.5,5.5,63.7,6.9,0.7,,,,,,
51,Jarrod Uthoff,F,33,31.5,18.9,6.6,14.8,44.8,2.0,5.2,38.2,3.7,4.5,81.3,6.3,1.1,,,,,,
51,Martin Breunig,F,33,30.5,18.9,6.9,11.1,62.1,0.1,0.3,30.0,5.0,7.1,70.8,9.0,1.5,,,,,,
53,Matt Morgan,G,27,30.7,18.9,5.9,14.2,41.5,2.6,7.9,32.7,4.5,5.6,80.8,3.2,2.0,,,,,,
54,Shawn Long,F,34,30.6,18.9,6.8,13.0,52.4,0.5,2.0,26.9,4.7,6.9,68.1,12.1,1.4,,,,,,
55,Pancake Thomas,G,30,34.6,18.9,5.9,13.6,43.7,2.7,6.3,42.6,4.3,5.2,82.7,6.4,2.8,,,,,,
56,Chris Horton,C,36,33.7,18.8,6.9,11.5,59.9,0.0,0.0,0.0,5.0,8.1,62.1,12.0,1.5,,,,,,
57,Max Landis,G,34,36.2,18.8,5.8,12.7,45.3,3.7,8.1,45.6,3.6,4.4,81.2,2.1,3.6,,,,,,
