RK,NAME,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,Unnamed: 17,Unnamed: 18,2007,Drafted?,Draft Pick,Draft Year
372,Aaron Gray,C,36,28.2,13.9,5.7,10.0,56.5,0.0,0.0,0.0,2.5,4.6,54.8,9.5,1.7,Yes,49.0,2007.0,Yes,49.0,2007.0
372,Mike Green,G,36,34.6,13.9,3.8,9.3,41.4,0.8,2.4,30.7,5.4,7.3,74.2,6.0,4.0,,,,,,
374,Eric Maynor,G,35,34.7,13.9,4.6,10.9,42.4,0.7,1.7,39.0,4.0,5.1,77.8,4.2,6.4,Yes,20.0,2009.0,,,
374,Patrick Beverley,G,35,34.4,13.9,4.3,10.0,42.7,2.1,5.4,38.6,3.2,3.9,81.2,4.5,3.1,Yes,42.0,2009.0,,,
376,Brandon Rush,G,38,32.5,13.8,4.9,11.1,44.3,2.0,4.6,43.1,2.1,3.1,68.1,5.6,2.0,Yes,13.0,2008.0,,,
377,Jerome Dyson,G,31,30.4,13.8,4.2,11.7,36.1,1.4,4.4,32.6,4.0,5.5,71.9,3.6,2.1,,,,,,
378,Adam Payton,G,30,31.7,13.8,4.7,9.9,47.6,0.7,2.2,31.3,3.7,4.4,84.2,4.0,1.7,,,,,,
379,Jason Siggers,G-F,33,31.2,13.8,5.1,11.6,44.1,1.4,4.4,31.7,2.2,2.7,81.8,3.9,2.3,,,,,,
380,Jeremy Crouch,G,27,30.2,13.8,4.4,9.9,45.1,3.1,6.1,50.0,1.9,2.2,84.7,2.3,2.3,,,,,,
381,Daniel Ruffin,G,32,33.5,13.8,4.8,11.5,41.4,2.1,5.4,38.2,2.3,2.9,77.4,2.5,5.4,,,,,,
382,Haron Hargrave,G,26,29.3,13.8,3.7,10.1,36.5,1.8,5.5,33.6,4.6,5.6,82.1,2.8,2.3,,,,,,
383,Armondo Surratt,G,25,33.5,13.8,5.2,12.1,42.7,2.1,5.9,35.4,1.4,1.8,79.5,1.8,3.4,,,,,,
383,Leonard Mendez,G,30,35.6,13.8,5.0,10.2,48.7,1.9,4.1,47.5,1.9,2.5,78.4,4.1,2.1,,,,,,
385,Lodrick Stewart,G,37,31.1,13.8,5.0,11.0,45.8,2.1,4.7,44.0,1.6,2.3,72.6,3.5,1.2,,,,,,
386,Mark Porter,G,30,34.3,13.8,4.4,10.5,42.2,1.5,4.7,31.4,3.4,4.9,69.6,5.2,5.2,,,,,,
387,Mike Jones,G,34,26.0,13.8,4.9,10.5,46.9,2.4,5.4,44.0,1.6,2.0,79.1,3.2,1.4,,,,,,
388,D.J. White,F,32,31.8,13.8,5.3,10.4,51.2,0.0,0.0,0.0,3.1,4.6,68.5,7.3,1.3,Yes,29.0,2008.0,,,
389,Derrick Low,G,34,34.4,13.7,4.9,10.9,44.6,2.2,5.5,39.9,1.8,2.2,78.9,2.1,2.1,,,,,,
390,Ryvon Covile,C,30,33.0,13.7,5.4,9.6,56.4,0.0,0.0,0.0,2.9,4.6,62.3,10.6,0.9,,,,,,
391,Warren Carter,F,34,30.8,13.7,4.9,10.1,48.5,0.9,2.2,41.9,3.0,4.2,71.1,6.1,2.0,,,,,,
392,Julien 'Skip' Mills,F,27,31.6,13.7,4.5,11.2,40.3,1.1,3.7,30.0,3.6,4.6,78.0,4.6,1.5,,,,,,
393,Austin Montgomery,G-F,30,33.1,13.7,4.5,10.1,44.4,1.8,4.4,40.6,3.0,3.4,86.4,5.0,2.0,,,,,,
394,Trey McDowell,G,29,26.6,13.7,5.4,12.5,43.1,2.0,5.4,36.7,0.9,1.4,64.3,3.3,1.6,,,,,,
395,LaDarious Weaver,G,32,34.4,13.7,4.8,12.1,40.1,2.9,8.0,36.3,1.1,1.5,72.9,2.8,1.8,,,,,,
396,Kyle Wilson,F,31,28.5,13.7,4.6,10.2,44.8,1.3,3.5,36.4,3.3,3.8,84.9,5.2,1.7,,,,,,
396,Larry Cunningham,G,31,26.9,13.7,5.1,11.6,44.0,0.6,2.0,29.0,2.8,3.5,80.7,4.7,1.8,,,,,,
398,Justin Doellman,F,34,27.0,13.7,4.8,9.7,49.5,1.2,3.4,36.2,2.8,3.5,79.2,5.5,1.7,,,,,,
398,Torey Thomas,G,34,37.6,13.7,3.9,10.3,37.5,1.4,3.5,40.3,4.6,5.9,77.1,4.7,4.7,,,,,,
398,Charles Rhodes,F-C,34,26.4,13.7,5.3,9.6,55.4,0.2,0.6,31.6,2.9,4.1,70.2,6.2,0.8,,,,,,
401,E.J. Drayton,F,30,33.6,13.7,4.6,9.5,48.2,0.5,1.4,34.1,4.1,7.0,57.8,8.4,1.3,,,,,,
402,Mike Mercer,G,23,29.3,13.6,5.6,13.7,40.8,1.0,4.0,24.7,1.5,2.5,58.6,4.4,3.3,,,,,,
403,Vladimir Kuljanin,C,29,24.9,13.6,5.7,8.6,66.3,0.0,0.0,0.0,2.2,3.3,66.7,7.1,0.7,,,,,,
404,Chris Vann,G,31,31.7,13.6,4.8,11.8,40.6,2.1,5.7,36.2,1.9,2.4,78.7,2.9,1.4,,,,,,
405,Sterling Byrd,F,32,30.4,13.6,4.8,10.0,48.1,1.8,4.9,36.3,2.2,2.9,74.2,6.6,1.2,,,,,,
406,Stephane Lasme,F,33,30.6,13.5,5.0,8.2,61.1,0.0,0.0,0.0,3.5,5.7,62.2,9.5,0.8,,,,,,
407,John Williamson,F,30,30.9,13.5,5.2,10.7,48.8,0.4,1.0,35.5,2.7,4.6,58.3,7.3,1.0,,,,,,
