RK,Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,Unnamed: 20,Unnamed: 21,2023,Drafted?,Draft Pick,Draft Year
457,Steven Verplancken,G,33,34.7,13.2,5.0,10.8,45.9,2.0,4.7,41.7,1.3,1.5,88.0,2.2,1.3,0.7,0.0,1.2,,,,,,
458,Terry Roberts,G,29,30.1,13.2,4.8,12.5,38.4,1.3,4.4,29.9,2.3,3.1,75.6,3.8,4.0,1.5,0.2,3.0,,,,,,
459,Kylen Milton,G,31,30.8,13.2,4.2,11.4,36.8,1.1,3.4,31.4,3.8,5.0,75.5,4.1,4.2,1.4,0.2,2.8,,,,,,
460,Clifford Omoruyi,C,34,30.3,13.2,5.3,10.4,50.7,0.1,0.6,18.2,2.6,4.2,60.4,9.6,0.9,0.6,2.1,1.8,,,,,,
461,Myron Gardner,F,30,30.8,13.2,4.2,10.0,42.3,1.2,3.5,35.6,3.5,4.6,75.5,9.1,3.6,1.3,0.5,2.7,,,,,,
462,David Jones,F,31,25.7,13.2,5.1,13.0,39.2,1.4,4.6,29.4,1.6,2.1,78.5,6.8,1.6,1.3,0.4,1.9,,,,,,
463,Zach Nutall,G,32,31.8,13.2,4.4,11.4,39.0,2.0,6.0,32.6,2.3,3.1,76.5,2.9,2.7,1.1,0.4,1.9,,,,,,
464,Cam Spencer,G,34,31.5,13.2,4.4,9.9,44.4,2.1,4.9,43.4,2.2,2.5,89.4,3.8,3.1,2.0,0.1,1.4,,,,,,
465,Jaylin Hunter,G,33,29.3,13.2,4.5,10.3,44.1,2.2,5.4,40.8,1.8,2.5,75.3,3.6,4.2,1.8,0.2,2.1,,,,,,
466,Norchad Omier,F,37,28.9,13.1,5.0,8.8,57.4,0.1,0.4,31.3,2.9,4.0,73.6,10.0,1.3,1.1,1.1,1.9,,,,,,
467,Supreme Cook,F,31,26.2,13.1,4.8,8.8,54.4,0.0,0.0,0.0,3.5,5.5,63.7,8.5,0.6,0.4,0.7,1.6,,,,,,
468,Keisei Tominaga,G,32,25.1,13.1,4.8,9.6,50.3,2.1,5.2,40.0,1.4,1.7,86.8,1.6,0.7,0.6,0.1,0.8,,,,,,
469,Dakota Leffew,G,31,33.5,13.1,4.8,11.6,41.0,2.4,6.2,38.0,1.2,1.6,75.5,2.7,1.7,1.3,0.4,2.7,,,,,,
469,Jorell Saterfield,G,31,32.4,13.1,4.7,12.3,38.2,2.1,6.1,34.2,1.6,2.1,74.2,4.3,1.1,0.6,0.2,1.1,,,,,,
471,Isaiah Pope,G,33,28.3,13.1,3.9,9.0,43.9,1.5,3.6,42.5,3.7,4.6,80.1,4.0,2.6,1.1,0.1,2.9,,,,,,
472,Dwon Odom,G,29,34.3,13.1,5.2,11.9,44.1,0.2,1.1,18.2,2.4,3.1,77.5,4.5,3.9,1.0,0.7,2.8,,,,,,
473,Sadaidriene Hall,F,30,27.4,13.1,5.5,9.3,59.4,0.1,0.4,36.4,1.9,2.8,68.2,6.8,1.8,1.2,0.7,1.7,,,,,,
473,Roddie Anderson,G,30,31.3,13.1,4.9,12.4,39.4,0.8,2.8,29.8,2.5,3.4,73.5,3.8,3.6,1.2,0.2,3.2,,,,,,
475,Tyrin Lawrence,G,36,29.0,13.1,4.6,9.1,50.2,1.0,2.8,36.0,2.9,3.9,74.3,4.4,1.7,1.0,0.1,1.8,,,,,,
476,Houston Mallette,G,31,33.8,13.0,4.6,11.1,41.4,1.8,5.4,32.9,2.0,2.5,81.8,3.6,2.5,0.9,0.1,1.4,,,,,,
477,Chris Childs,G,32,31.2,13.0,4.1,11.0,37.1,2.0,5.5,36.0,2.9,3.2,91.1,3.7,1.8,0.7,0.2,2.5,,,,,,
477,Bonke Maring,C,32,25.8,13.0,5.7,9.7,58.2,0.1,0.4,30.8,1.6,2.5,63.0,5.9,1.7,0.9,1.1,2.0,,,,,,
479,Devin Carter,G,33,32.0,13.0,4.3,10.0,42.7,1.1,3.5,29.9,3.4,4.8,72.0,4.9,2.5,1.8,1.1,1.6,,,,,,
480,Xavier Fuller,G,35,30.7,13.0,4.9,11.2,43.7,0.7,2.1,31.9,2.6,3.1,84.3,4.3,1.2,1.0,0.3,1.5,,,,,,
481,Cameron Christon,G,33,28.5,13.0,4.5,9.4,47.4,1.5,4.2,37.2,2.5,3.7,69.4,5.4,1.5,1.1,0.5,1.9,,,,,,
481,Kevion Nolan,G,29,31.6,13.0,4.5,11.4,39.2,2.2,6.8,32.5,1.8,2.1,86.9,3.9,4.3,1.0,0.3,2.5,,,,,,
481,Sir'Jabari Rice,G,38,25.3,13.0,4.2,9.0,46.4,1.7,4.5,37.1,3.0,3.4,86.3,3.5,2.0,0.9,0.3,1.5,,,,,,
481,Caleb Mills,G,32,29.6,13.0,4.3,10.4,41.0,0.9,3.2,29.4,3.5,4.2,83.6,3.0,3.4,1.3,0.6,2.2,,,,,,
481,Keegan Records,F,35,23.5,13.0,5.6,8.3,67.5,0.1,0.3,33.3,1.8,2.8,63.3,6.0,1.3,0.6,1.3,1.0,,,,,,
481,Sean Halloran,G,32,33.8,13.0,4.5,10.8,41.9,1.6,5.1,31.3,2.3,2.6,91.5,3.2,4.0,1.8,0.0,2.6,,,,,,
481,Brandon Noel,F,33,29.2,13.0,5.2,8.6,60.9,0.5,1.3,35.7,2.1,2.7,77.3,8.7,1.4,0.8,1.0,2.2,,,,,,
481,Zid Powell,G,28,24.6,13.0,4.4,10.5,41.8,0.5,3.0,17.6,3.7,4.6,79.2,4.1,2.7,1.9,0.4,2.5,,,,,,
489,Antavion Collum,C,33,29.3,13.0,4.8,11.0,43.5,0.2,0.6,31.6,3.2,4.2,76.8,5.1,1.5,0.6,0.2,2.0,,,,,,
490,Isiah Dasher,G,32,28.4,13.0,4.1,10.8,38.3,1.3,4.1,31.3,3.4,4.5,76.4,3.8,1.2,0.7,0.3,1.4,,,,,,
491,Jamari Blackmon,G,31,34.0,13.0,4.2,10.2,40.7,2.1,5.6,37.9,2.5,3.1,80.4,3.2,3.1,1.3,0.1,1.8,,,,,,
492,Jaylen Clark,G,30,30.5,13.0,4.9,10.3,48.1,0.9,2.6,32.9,2.2,3.2,69.8,6.0,1.9,2.6,0.3,1.2,,,,,,
493,Tyler Kolek,G,36,32.3,12.9,4.6,9.7,47.1,1.3,3.3,39.8,2.5,3.1,80.2,4.1,7.5,1.8,0.1,2.5,,,,,,
494,DeAndre Pinckney,F,33,29.4,12.9,4.7,9.8,48.0,1.2,3.5,33.3,2.4,3.4,69.6,6.6,1.3,1.0,0.5,1.2,,,,,,
495,Keenon Cole,F,32,25.4,12.9,4.7,9.0,52.4,1.2,2.6,46.3,2.3,3.1,74.0,5.7,0.6,0.3,0.8,1.9,,,,,,
496,Elijah Hawkins,G,31,29.7,12.9,4.0,9.0,44.1,1.7,3.7,46.6,3.3,4.3,75.9,3.6,6.0,1.7,0.0,4.0,,,,,,
497,Mervin James,F,30,29.2,12.9,5.0,10.4,48.2,0.2,0.8,24.0,2.7,3.2,82.5,6.8,1.5,0.4,0.5,2.0,,,,,,
498,Gabe Kalscheur,G,33,33.6,12.9,4.5,11.4,40.0,2.2,6.2,35.4,1.6,2.2,72.6,2.4,1.5,1.5,0.2,1.8,,,,,,
498,Lassina Traore,F,33,28.1,12.9,5.2,9.7,53.4,0.0,0.0,0.0,2.5,3.7,68.3,10.5,1.2,0.8,0.6,1.8,,,,,,
