RK,NAME,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,Unnamed: 20,Unnamed: 21,2013,Drafted?,Draft Pick,Draft Year
255,Nick Minnerath,F,33,29.6,14.6,5.4,11.6,46.2,1.5,4.3,35.9,2.4,3.0,78.8,5.9,1.0,0.8,0.4,1.3,,,,,,
255,Myck Kabongo,G,11,37.3,14.6,4.2,10.0,41.8,0.7,2.5,29.6,5.5,7.0,79.2,5.0,5.5,2.0,0.0,3.4,,,,,,
257,Desi Washington,G,30,34.4,14.6,4.9,13.1,37.2,2.7,7.3,37.0,2.2,2.5,88.0,3.4,1.0,1.4,0.1,1.6,,,,,,
258,Tymell Murphy,F,32,30.4,14.6,6.1,10.7,57.3,0.4,1.2,31.6,2.0,3.0,67.4,6.8,1.9,1.7,1.1,2.5,,,,,,
259,Andre Hollins,G,34,30.1,14.6,4.5,10.7,41.6,2.4,5.7,41.8,3.3,4.1,80.6,3.7,3.4,1.1,0.3,2.3,,,,,,
260,Anthony Campbell,F,30,31.0,14.6,5.0,10.8,46.0,2.1,5.7,37.4,2.5,2.9,86.4,4.9,1.9,0.8,0.0,2.4,,,,,,
260,Derek Needham,G,35,33.1,14.6,5.0,12.6,39.8,2.2,6.8,32.6,2.4,3.1,76.9,3.4,3.1,1.4,0.1,2.7,,,,,,
260,Carrick Felix,G-F,35,35.3,14.6,5.4,10.8,50.0,1.5,4.0,37.4,2.3,3.5,66.4,8.1,1.6,1.4,1.1,2.0,Yes,33.0,2013.0,Yes,33.0,2013.0
263,Javonte Green,F,32,27.7,14.6,5.6,11.0,50.4,0.2,0.8,19.2,3.3,5.6,59.2,8.1,1.3,2.1,0.7,2.1,,,,,,
264,Elias Harris,F,34,27.8,14.6,5.0,9.9,50.1,0.2,1.4,17.0,4.4,5.7,76.8,7.4,1.6,1.2,0.6,1.8,,,,,,
264,P.J. Hairston,G,34,23.6,14.6,4.7,10.9,43.1,2.6,6.6,39.6,2.6,3.3,77.9,4.3,1.4,1.3,0.4,1.1,Yes,26.0,2014.0,,,
266,Rod Rucker,F,33,33.1,14.5,6.2,12.9,48.0,0.0,0.2,0.0,2.2,3.8,57.6,8.2,2.3,1.1,0.7,2.6,,,,,,
267,Frankie Sullivan,G,32,31.2,14.5,4.6,12.6,36.7,1.8,6.3,27.7,3.5,4.5,79.0,3.9,2.8,1.0,0.3,3.1,,,,,,
268,Tim Hardaway Jr,G,38,34.8,14.5,5.3,12.1,43.7,1.9,5.1,37.4,2.0,2.9,69.4,4.7,2.4,0.7,0.4,1.9,,,,,,
269,C.J. Fair,F,40,34.9,14.5,5.4,11.6,47.0,0.8,1.6,46.9,2.9,3.9,75.5,7.0,0.7,1.1,1.1,1.6,,,,,,
270,Allan Chaney,F,30,26.3,14.5,5.3,10.4,51.3,0.3,1.2,25.0,3.5,4.4,80.3,8.1,1.4,0.5,1.2,1.8,,,,,,
270,Murphy Holloway,F,36,31.4,14.5,5.9,10.7,55.6,0.0,0.2,12.5,2.6,4.8,54.4,9.7,1.3,1.6,0.7,2.1,,,,,,
270,Luke Martinez,G,12,30.5,14.5,4.5,9.9,45.4,2.9,6.9,42.2,2.6,3.0,86.1,3.0,1.5,2.1,0.2,1.8,,,,,,
270,Rashad Smith,F,4,21.3,14.5,4.5,7.3,62.1,0.0,0.5,0.0,5.5,6.8,81.5,4.8,0.0,0.5,1.8,2.5,,,,,,
