RK,NAME,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,Unnamed: 20,Unnamed: 21,2022,Drafted?,Draft Pick,Draft Year
1,Peter Kiss,G,27,35.7,25.2,9.1,20.0,45.6,1.9,6.3,29.6,5.1,6.5,78.4,5.8,3.2,1.7,0.3,4.2,,,,,,
2,Darius McGhee,G,33,33.7,24.6,8.4,18.3,45.6,4.3,11.0,39.0,3.6,4.1,88.1,4.5,3.6,1.2,0.2,3.0,,,,,,
3,Antoine Davis,G,29,37.0,23.9,8.2,19.1,42.9,3.9,10.3,37.9,3.6,4.1,88.2,3.6,4.4,1.0,0.0,3.3,,,,,,
4,Keegan Murray,F,35,31.9,23.5,8.8,15.8,55.4,1.9,4.7,39.8,4.1,5.4,74.7,8.7,1.5,1.3,1.9,1.1,,,,,,
5,Max Abmas,G,30,36.8,22.8,7.5,17.9,42.2,3.8,9.8,38.9,4.0,4.7,85.0,3.4,3.7,1.0,0.1,2.3,,,,,,
6,Bryce Hamilton,G,32,32.3,21.8,7.6,17.8,43.0,2.5,7.2,34.6,4.0,5.3,76.8,5.0,2.2,0.8,0.1,1.9,,,,,,
7,Terrell Brown Jr,G,32,36.1,21.7,8.0,17.8,45.2,0.4,1.9,20.0,5.3,6.8,77.2,4.2,4.3,2.2,0.5,2.4,,,,,,
8,Javon Freeman-Liberty,G,24,34.9,21.7,7.3,17.0,43.0,2.0,5.5,36.8,5.0,6.7,73.9,7.3,3.2,1.7,0.1,2.2,,,,,,
9,Tavian Dunn-Martin,G,33,33.6,21.4,6.7,16.3,41.0,3.2,8.7,36.8,4.8,5.5,87.8,3.1,6.0,1.1,0.0,3.7,,,,,,
10,Daylen Kountz,G,37,34.4,21.2,7.8,15.2,51.2,1.6,3.8,42.1,4.1,5.0,82.3,4.1,2.6,0.8,0.4,2.4,,,,,,
11,Kofi Cockburn,C,28,30.7,20.9,8.1,13.6,59.3,0.0,0.0,0.0,4.8,7.3,65.5,10.6,0.8,0.8,1.0,2.3,,,,,,
12,Jordan Dingle,G,26,31.8,20.9,7.6,17.1,44.6,2.5,7.6,33.5,3.1,3.8,81.0,3.6,2.4,0.8,0.0,3.0,,,,,,
13,Ty Gordon,G,29,34.3,20.8,7.8,17.3,44.9,3.6,10.0,35.5,1.7,2.6,64.5,3.3,3.1,1.4,0.0,2.6,,,,,,
14,Scotty Pippen Jr,G,36,33.1,20.4,6.2,14.9,41.6,1.8,5.5,32.5,6.2,8.3,74.9,3.6,4.5,1.9,0.2,3.4,,,,,,
15,Isiaih Mosley,G,34,31.6,20.4,7.4,14.6,50.4,2.1,4.8,42.7,3.5,3.9,90.2,6.2,2.3,1.2,0.2,2.7,,,,,,
16,Jordan Walker,G,34,31.8,20.3,6.5,16.2,40.0,3.4,8.6,39.6,3.9,4.4,88.0,2.8,4.9,1.5,0.0,3.6,,,,,,
17,Derek St. Hilaire,G,31,33.4,20.1,6.8,16.3,41.8,1.9,6.0,32.4,4.6,5.5,82.6,3.9,2.6,1.8,0.2,3.0,,,,,,
18,Tanner Holden,G,36,35.3,20.1,6.8,13.6,49.7,0.4,1.1,34.1,6.1,7.8,78.9,7.1,2.6,1.4,0.2,2.5,,,,,,
