RK,Unnamed: 1,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,Unnamed: 17,Unnamed: 18,2020,Drafted?,Draft Pick,Draft Year
1,Markus Howard,G,29,33.2,27.8,8.2,19.3,42.2,4.2,10.1,41.2,7.3,8.6,84.7,3.5,3.3,,,,,,
2,Jhivvan Jackson,G,32,34.5,26.8,9.1,21.7,41.8,3.8,10.7,35.4,4.8,5.7,85.2,5.6,2.4,,,,,,
3,Jermaine Marrow,G,28,37.8,24.8,7.9,19.4,40.7,2.1,7.2,29.4,6.9,9.0,76.2,3.2,6.5,,,,,,
4,Antoine Davis,G,30,36.8,24.3,7.9,20.8,38.0,3.4,10.4,32.4,5.1,5.7,90.1,3.1,4.5,,,,,,
5,Luka Garza,C,31,32.0,23.9,9.3,17.1,54.2,1.3,3.5,35.8,4.1,6.3,65.1,9.8,1.2,Yes,52.0,2021.0,,,
6,Mike Smith,G,30,37.7,22.8,8.3,19.3,43.2,2.1,6.1,34.1,4.1,5.0,81.3,4.1,4.5,,,,,,
7,Jerrick Harding,G,29,34.0,22.2,8.1,16.6,48.8,2.1,6.5,32.8,3.9,4.5,86.3,2.9,2.2,,,,,,
8,Mason Jones,G,31,33.9,22.0,6.2,13.6,45.3,2.2,6.3,35.1,7.5,9.1,82.6,5.5,3.4,,,,,,
9,Ben Stanley,F,34,35.1,22.0,8.7,15.1,57.4,0.4,1.3,33.3,4.2,6.6,64.3,7.2,0.7,,,,,,
10,Jordan Roland,G,33,36.2,21.9,7.5,15.7,48.1,2.9,7.3,39.4,3.9,4.4,88.4,3.3,1.8,,,,,,
11,Grant Riller,G,31,33.5,21.9,7.3,14.7,49.9,1.5,4.2,36.2,5.7,6.9,82.7,5.1,3.9,Yes,56.0,2020.0,Yes,56.0,2020.0
12,Jordan Ford,G,34,38.0,21.9,7.9,16.1,49.2,2.5,6.1,41.1,3.4,4.1,83.6,3.0,2.3,,,,,,
13,Terry Taylor,G,33,36.6,21.8,8.6,15.7,55.0,1.2,3.9,32.0,3.2,5.0,65.2,11.0,1.4,,,,,,
14,Jalen Harris,G,30,33.0,21.7,7.5,16.7,44.6,2.2,6.2,36.2,4.5,5.5,82.3,6.5,3.9,Yes,59.0,2020.0,Yes,59.0,2020.0
15,Trevon Allen,G,30,33.6,21.6,7.6,17.0,44.9,2.1,5.2,40.0,4.2,5.2,81.4,4.9,1.7,,,,,,
16,Marcus Burk,G,32,34.8,21.3,7.4,17.1,43.2,2.9,7.5,38.6,3.6,4.6,78.2,3.4,1.9,,,,,,
17,Myles Powell,G,28,31.5,21.0,7.0,17.5,39.8,2.8,9.2,30.6,4.3,5.4,79.5,4.3,2.9,,,,,,
18,Nate Darling,G,32,38.2,21.0,6.8,15.3,44.6,3.3,8.4,39.9,4.0,4.7,85.4,3.9,2.8,,,,,,
19,Nathan Knight,F,32,29.6,20.7,7.1,13.5,52.4,0.9,3.0,30.5,5.6,7.3,77.3,10.5,1.8,,,,,,
20,Terrell Brown Jr,G,29,36.0,20.7,7.8,18.8,41.4,0.6,1.9,29.1,4.6,5.9,78.4,6.2,4.9,,,,,,
21,Ryan Daly,G,30,34.7,20.6,7.2,17.0,42.5,1.9,6.0,31.1,4.3,5.9,73.3,6.8,4.3,,,,,,
