RK,Unnamed: 1,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,Unnamed: 17,Unnamed: 18,2015,Drafted?,Draft Pick,Draft Year
1,Tyler Harvey,G,32,36.9,23.1,7.2,15.3,46.9,4.0,9.3,43.1,4.7,5.5,85.2,3.6,2.6,Yes,51.0,2015.0,Yes,51.0,2015.0
2,Zeek Woodley,G,32,31.5,22.2,8.2,14.6,56.0,1.2,3.1,39.8,4.6,5.7,81.3,5.0,1.1,,,,,,
3,Tyler Haws,G,35,32.1,22.2,7.4,15.4,48.0,1.5,4.2,36.7,5.9,6.7,87.3,4.5,2.4,,,,,,
4,Denzel Livingston,G,29,36.9,21.5,6.6,14.4,45.5,1.6,4.6,34.3,6.8,8.5,80.5,5.9,2.9,,,,,,
5,Damion Lee,G,27,38.1,21.4,6.3,14.4,43.8,2.4,6.3,38.5,6.4,7.2,88.7,6.1,2.3,,,,,,
6,Saah Nimley,G,31,35.7,21.4,5.9,15.4,38.4,3.5,9.9,35.8,6.0,7.4,82.0,4.1,4.1,,,,,,
7,Amere May,G,32,34.2,21.0,7.1,17.0,41.8,2.8,7.2,38.7,4.0,4.9,82.1,4.2,2.7,,,,,,
8,Corey Hawkins,G,28,33.4,20.9,6.7,13.4,50.3,2.9,5.9,48.8,4.6,5.6,82.2,4.9,3.4,,,,,,
9,D.J. Newbill,G,34,37.1,20.7,7.1,15.9,45.0,1.8,4.9,37.0,4.6,6.1,75.8,4.7,3.1,,,,,,
10,Joe Young,G,36,36.7,20.7,7.4,16.4,44.8,2.5,7.1,35.7,3.4,3.7,92.5,4.4,3.8,Yes,43.0,2015.0,Yes,43.0,2015.0
11,Chavaughn Lewis,F,29,35.7,20.6,7.0,16.9,41.3,1.4,4.9,28.9,5.1,7.7,66.5,5.3,2.7,,,,,,
12,Ty Greene,G,35,34.0,20.3,6.6,14.9,44.4,2.9,7.2,40.7,4.1,5.4,75.1,3.1,2.1,,,,,,
13,Jalen Riley,G,29,27.5,20.2,5.7,14.7,38.7,2.8,7.4,37.4,6.1,7.4,82.7,2.3,2.7,,,,,,
14,Cameron Payne,G,35,32.2,20.2,7.0,15.3,45.6,2.4,6.4,37.7,3.8,4.8,78.7,3.7,6.0,Yes,14.0,2015.0,Yes,14.0,2015.0
15,A.J. English,G,34,37.4,20.1,6.2,14.4,43.2,3.1,8.1,38.7,4.6,5.8,78.7,5.1,5.1,,,,,,
16,D.J. Balentine,G,36,36.6,20.1,6.8,15.6,43.5,2.1,5.3,39.2,4.4,5.9,75.0,3.2,3.2,,,,,,
17,Jalan West,G,32,34.5,20.0,6.0,13.2,45.6,2.7,6.4,42.2,5.3,6.1,86.2,4.4,7.7,,,,,,
18,Marcus Thornton,G,33,36.7,20.0,6.5,14.3,45.6,3.1,7.7,40.2,3.8,4.6,83.0,2.8,2.9,Yes,43.0,2009.0,,,
19,David Laury,F,34,35.3,19.8,7.2,15.1,47.5,0.8,2.1,38.0,4.7,6.9,68.2,9.7,2.8,,,,,,
20,LaDontae Henton,F,34,37.0,19.7,6.8,15.2,44.6,1.9,5.6,33.9,4.3,5.6,75.9,6.5,0.9,,,,,,
21,RJ Hunter,G,35,37.0,19.7,5.8,14.7,39.5,2.3,7.5,30.5,5.8,6.6,87.8,4.7,3.6,,,,,,
22,Chasson Randle,G,37,36.4,19.6,5.9,14.6,40.3,2.4,6.7,36.3,5.4,6.2,87.7,3.3,3.0,,,,,,
23,Olivier Hanlan,G,32,37.6,19.5,7.0,15.5,45.4,2.0,5.8,35.3,3.4,4.5,75.9,4.2,4.2,Yes,42.0,2015.0,Yes,42.0,2015.0
24,Derrick Marks,G,32,31.2,19.4,7.2,14.6,49.4,2.1,4.9,43.6,2.8,3.7,77.1,3.7,3.0,,,,,,
25,James Sinclair,G,31,38.1,19.4,6.9,17.2,40.2,1.6,5.2,31.5,3.9,5.1,76.7,6.0,2.9,,,,,,
26,D'Angelo Russell,G,35,33.9,19.3,6.6,14.7,44.9,2.7,6.6,41.1,3.4,4.5,75.6,5.7,5.0,Yes,2.0,2015.0,Yes,2.0,2015.0
27,John Brown,F,32,31.1,19.3,7.6,13.8,55.0,0.0,0.2,0.0,4.2,5.5,75.6,6.0,1.2,,,,,,
28,Andrew Rowsey,G,31,32.6,19.2,5.7,14.5,39.4,3.3,8.6,38.2,4.5,4.9,92.1,2.8,2.9,,,,,,
29,Mikh McKinney,G,32,37.0,19.2,6.8,13.5,50.7,2.0,4.7,43.0,3.4,4.3,80.3,2.8,4.9,,,,,,
30,Jeff Short,G,34,34.0,19.1,6.2,12.5,49.8,2.0,5.1,39.4,4.6,5.6,82.0,4.2,1.9,,,,,,
31,Brad Waldow,F,31,34.5,19.0,7.6,13.6,55.8,0.0,0.0,0.0,3.9,5.9,65.9,9.1,2.2,,,,,,
32,Jerome Hill,F,34,33.1,18.9,6.2,13.1,47.3,0.2,1.1,15.8,6.4,10.1,62.8,10.1,2.2,,,,,,
33,Lawrence Alexander,G,33,38.5,18.9,6.2,14.3,43.0,3.2,7.2,44.1,3.5,4.3,80.9,4.5,1.7,,,,,,
34,Frank Kaminsky,F,39,33.6,18.8,6.8,12.5,54.7,1.1,2.6,41.6,4.0,5.1,78.0,8.2,2.6,Yes,9.0,2015.0,Yes,9.0,2015.0
35,Dyami Starks,G,31,38.2,18.6,6.0,16.0,37.7,3.2,9.2,34.3,3.4,3.7,91.3,3.4,1.5,,,,,,
36,Keifer Sykes,G,33,35.0,18.6,6.5,14.3,45.2,1.4,4.5,31.1,4.3,5.5,78.0,4.5,4.0,,,,,,
37,Corey Walden,G,32,34.6,18.6,6.2,11.3,54.7,1.6,4.4,36.4,4.6,5.6,81.7,4.0,3.8,,,,,,
38,Keon Moore,G,32,33.1,18.5,5.9,13.3,44.3,3.2,7.3,43.2,3.6,4.2,85.9,5.2,1.8,,,,,,
