RK,Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,Unnamed: 17,Unnamed: 18,2006,Drafted?,Draft Pick,Draft Year
293,Zac Schlader,C,30,36.3,14.4,5.5,10.9,50.5,0.0,0.1,0.0,3.4,4.7,73.6,5.1,2.2,,,,,,
293,Isaac Wells,F,30,32.1,14.4,5.6,11.4,49.3,1.3,3.1,41.5,1.9,2.7,69.1,6.8,1.6,,,,,,
295,Joe Knight,G,15,31.2,14.4,4.3,11.0,39.4,1.7,5.1,32.5,4.1,5.3,77.2,4.0,2.4,,,,,,
295,Steve Holdren,G,5,29.6,14.4,5.2,12.6,41.3,1.8,4.6,39.1,2.2,3.2,68.8,4.2,1.2,,,,,,
297,Corey Herring,G-F,23,31.3,14.4,5.1,10.9,47.0,1.5,3.8,38.6,2.7,3.7,70.9,5.3,2.7,,,,,,
298,Blagoj Janev,F,29,33.1,14.4,4.5,9.7,46.1,2.0,5.0,39.7,3.4,3.9,86.8,4.5,1.1,,,,,,
299,Stanley Burrell,G,32,34.2,14.4,5.2,12.5,41.2,2.2,5.4,40.1,1.9,2.4,78.2,2.9,3.3,,,,,,
300,Chris Jordan,G,29,29.0,14.3,4.9,10.0,48.5,1.7,3.7,44.9,3.0,3.7,81.1,3.5,2.0,,,,,,
301,Brian Mason,G-F,30,30.8,14.3,5.3,11.1,47.9,0.9,2.7,33.3,2.8,3.6,77.6,6.1,0.7,,,,,,
302,Ronald Steele,G,31,38.4,14.3,4.3,10.3,41.6,1.7,4.2,41.2,4.0,4.5,89.2,3.7,4.3,,,,,,
303,Ja'Ron Jefferson,G,28,31.2,14.3,5.0,11.8,42.7,2.3,5.4,43.3,1.9,3.0,65.1,3.8,3.2,,,,,,
304,Jarell Brown,G,22,26.2,14.3,5.1,12.0,42.8,2.2,5.5,40.2,1.8,2.4,76.9,2.6,0.6,,,,,,
305,William Hatcher,G,29,37.6,14.3,4.9,11.6,42.4,1.5,4.3,34.9,3.0,3.7,81.3,2.9,4.3,,,,,,
306,Kelly Golob,G,31,29.3,14.3,5.1,10.7,47.3,2.3,5.4,42.8,1.9,2.3,81.7,3.7,1.3,,,,,,
306,Reyshawn Terry,F,31,24.2,14.3,4.7,9.9,47.4,1.5,3.8,38.1,3.5,4.4,80.0,6.2,1.4,Yes,44.0,2007.0,,,
308,Isaiah Hunter,G,32,28.2,14.3,4.6,11.8,39.1,1.8,5.4,33.1,3.3,4.3,75.4,3.3,2.7,,,,,,
309,Lou Amundson,F,29,28.1,14.3,5.5,10.4,52.8,0.0,0.0,0.0,3.3,5.8,57.5,8.6,1.1,,,,,,
310,Mohamed Abukar,F,22,30.4,14.3,5.4,11.0,48.8,0.4,1.3,28.6,3.2,3.9,81.4,4.7,1.0,,,,,,
311,Tristan Blackwood,G,27,34.6,14.3,4.8,10.9,44.1,2.6,6.6,40.1,2.0,2.2,90.0,3.1,4.2,,,,,,
312,Jermareo Davidson,F,31,33.8,14.3,5.4,11.4,47.7,0.0,0.1,0.0,3.4,4.6,74.6,8.9,1.2,Yes,36.0,2007.0,,,
313,Corey Rouse,F,28,31.3,14.3,5.0,9.5,52.6,0.0,0.1,50.0,4.2,7.4,57.3,10.8,1.4,,,,,,
313,Dee Ayuba,F,28,32.6,14.3,5.3,10.4,50.7,0.7,2.0,33.3,3.1,4.4,70.5,6.7,1.3,,,,,,
315,Dee Brown,G,33,35.8,14.2,4.8,13.2,35.9,2.4,7.4,32.1,2.4,3.1,75.7,3.1,5.8,Yes,46.0,2006.0,Yes,46.0,2006.0
316,Josh Alexander,F,29,27.5,14.2,4.9,9.3,52.8,2.5,5.3,47.7,1.9,2.4,80.0,6.1,0.8,,,,,,
317,Keith Simmons,G,32,31.1,14.2,4.9,9.4,52.5,1.9,3.9,47.6,2.5,3.0,81.4,5.2,1.5,,,,,,
318,Matt Webster,F,28,26.9,14.2,4.2,9.1,46.3,0.3,1.6,17.4,5.5,7.3,75.5,6.4,1.7,,,,,,
319,Justin Chiera,G,29,33.9,14.2,4.7,11.5,41.0,3.3,8.4,39.8,1.4,1.9,74.5,2.1,3.0,,,,,,
320,Michael Williams,F-C,30,31.8,14.2,5.6,11.3,49.7,0.0,0.0,0.0,3.0,5.1,59.2,7.3,1.1,,,,,,
320,Jarrett Howell,G,30,32.9,14.2,4.3,9.3,45.9,1.6,3.9,41.9,4.0,4.7,86.4,2.6,3.1,,,,,,
322,Rickey Porter,G,28,34.1,14.2,4.9,12.4,39.8,2.4,6.5,36.6,1.9,2.6,75.0,3.1,3.3,,,,,,
322,Armondo Surratt,G,28,35.1,14.2,5.3,14.3,36.8,1.5,5.5,27.7,2.1,3.1,69.0,2.5,5.1,,,,,,
322,DeWitt Scott,F,28,34.5,14.2,4.8,11.0,43.6,2.5,5.6,44.3,2.1,2.5,85.5,3.6,0.7,,,,,,
325,Clifton Lee,F,34,26.6,14.2,5.6,10.8,51.6,1.0,2.6,39.3,2.0,3.3,62.2,6.2,1.8,,,,,,
326,Ken Tutt,G,23,31.5,14.2,4.8,12.1,39.4,2.3,5.4,41.9,2.3,2.8,83.1,2.0,2.3,,,,,,
