RK,Unnamed: 1,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,Unnamed: 17,Unnamed: 18,2008,Drafted?,Draft Pick,Draft Year
455,Gerald Lee,F,34,30.6,12.9,4.9,10.3,48.1,0.1,0.3,27.3,2.9,4.0,73.5,5.8,1.4,,,,,,
456,Gary Patterson,G,33,34.4,12.9,4.2,9.7,43.8,2.8,6.3,44.5,1.6,1.8,91.4,2.3,2.6,,,,,,
456,Daniel Fountain,G,33,32.3,12.9,4.0,9.8,40.7,2.8,6.6,42.4,2.1,2.7,77.8,3.7,2.1,,,,,,
456,Roge'r Guignard,G,33,31.6,12.9,4.8,11.6,41.0,3.0,7.8,38.4,0.4,0.5,72.2,2.8,2.6,,,,,,
459,Cavell Johnson,F,31,27.0,12.9,5.4,10.3,52.2,0.2,0.5,33.3,2.0,3.6,56.8,6.7,1.0,,,,,,
460,Frank Turner,G,31,33.7,12.9,4.9,11.9,40.8,0.6,2.3,25.7,2.5,4.0,64.2,4.3,4.6,,,,,,
461,Reggie Holmes,G,30,26.1,12.9,3.7,9.8,38.2,2.1,5.6,36.7,3.3,4.3,78.1,3.3,0.6,,,,,,
462,E'Twaun Moore,G,34,30.6,12.9,4.7,10.6,44.3,1.9,4.5,43.4,1.6,2.2,71.6,3.9,2.6,Yes,55.0,2011.0,,,
463,Randy Culpepper,G,33,24.3,12.8,4.3,11.0,39.4,2.5,7.2,33.9,1.7,2.4,71.2,2.1,1.1,,,,,,
464,Bryce Taylor,G,30,33.1,12.8,4.5,9.8,46.1,1.7,4.4,38.2,2.2,2.6,82.3,3.8,1.4,,,,,,
465,Lazar Hayward,F,35,25.4,12.8,4.5,9.5,47.4,1.2,2.6,45.1,2.6,3.4,77.3,6.5,0.6,Yes,30.0,2010.0,,,
466,Jarvis Bradley,F-C,29,30.6,12.8,4.7,10.9,43.0,0.0,0.1,0.0,3.4,4.7,73.5,7.2,1.0,,,,,,
467,Lamont Mack,F,34,27.0,12.8,4.4,11.1,39.2,1.9,5.2,36.4,2.2,3.1,72.4,5.1,1.4,,,,,,
468,Brice Brooks,F,32,30.9,12.8,4.9,9.8,50.5,0.1,0.2,42.9,2.8,3.8,75.8,5.5,1.6,,,,,,
469,Chad Troyer,G,31,31.1,12.8,4.2,9.3,45.1,2.7,6.2,44.3,1.7,2.3,74.3,2.8,1.6,,,,,,
469,Michael Deloach,G,31,25.3,12.8,5.0,10.3,48.8,0.6,2.2,29.0,2.1,3.3,63.7,3.7,3.1,,,,,,
471,Juwann James,F,30,29.6,12.8,5.1,8.9,57.5,0.1,0.1,50.0,2.5,4.6,55.5,5.8,1.1,,,,,,
471,Riley Luettgerodt,G-F,30,35.2,12.8,4.7,10.8,43.8,0.4,1.6,26.5,2.9,3.6,81.3,4.9,2.8,,,,,,
473,Jeremy Hazell,G,32,27.3,12.8,4.1,10.3,39.3,2.4,7.3,33.3,2.2,2.9,76.3,2.3,0.9,,,,,,
474,Mario Chalmers,G,39,30.0,12.8,4.2,8.2,51.6,1.9,4.0,46.8,2.5,3.3,74.6,3.1,4.3,Yes,34.0,2008.0,Yes,34.0,2008.0
475,Vladimir Kuljanin,C,33,31.8,12.8,5.7,8.5,66.7,0.0,0.0,0.0,1.4,2.6,52.3,9.9,2.4,,,,,,
476,Daniel Northern,F-C,32,30.7,12.8,4.5,9.4,48.2,0.1,0.2,42.9,3.6,6.0,59.9,9.3,0.7,,,,,,
476,Darrell Arthur,F,40,24.7,12.8,5.4,9.9,54.3,0.1,0.3,16.7,2.0,2.9,70.2,6.3,0.8,Yes,27.0,2008.0,Yes,27.0,2008.0
478,Russell Westbrook,G,39,33.8,12.7,4.7,10.0,46.5,0.7,2.0,33.8,2.7,3.8,71.3,3.9,4.3,Yes,4.0,2008.0,Yes,4.0,2008.0
479,Todd Brown,G,31,34.6,12.7,4.5,11.2,40.5,1.9,4.6,42.3,1.7,2.6,65.4,4.3,2.3,,,,,,
480,Gerald Henderson,G-F,34,26.2,12.7,4.6,9.7,47.4,0.6,1.9,31.7,3.0,4.4,66.9,4.7,1.6,Yes,12.0,2009.0,,,
481,Marvin Kilgore,G,33,31.6,12.7,4.3,9.2,46.4,0.7,2.2,33.3,3.5,5.4,64.4,4.6,5.0,,,,,,
482,Brent Benson,G,29,21.7,12.7,3.6,9.1,39.5,2.2,5.8,37.7,3.4,4.6,73.1,1.7,1.0,,,,,,
483,Arinze Onuaku,F,35,30.6,12.7,5.3,8.5,62.8,0.0,0.0,0.0,2.1,4.7,44.5,8.1,0.7,,,,,,
484,Todd Sowell,F,30,30.4,12.7,4.9,10.3,47.9,0.0,0.0,0.0,2.8,4.8,59.0,10.4,1.2,,,,,,
485,Jason Richards,G,36,35.1,12.7,4.3,10.3,41.2,1.6,5.1,31.9,2.6,3.5,74.4,3.1,8.1,,,,,,
