RK,NAME,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,Unnamed: 17,Unnamed: 18,2018,Drafted?,Draft Pick,Draft Year
1,Trae Young,G,32,35.4,27.4,8.2,19.3,42.2,3.7,10.3,36.0,7.4,8.6,86.1,3.9,8.7,Yes,5.0,2018.0,Yes,5.0,2018.0
2,Kendrick Nunn,G,30,37.9,25.9,8.7,20.1,43.5,4.5,11.3,39.4,4.0,4.7,83.8,4.7,3.8,,,,,,
3,Jordan Howard,G,35,36.0,25.1,8.0,17.5,45.7,3.2,8.2,39.4,5.9,6.7,88.8,3.6,2.7,,,,,,
4,Chris Clemons,G,31,34.0,24.9,7.5,16.6,45.2,3.1,8.3,37.1,6.8,7.9,86.1,4.6,3.1,,,,,,
5,Justin Wright-Foreman,G,31,37.8,24.4,8.5,19.0,44.9,3.1,8.5,36.6,4.2,5.3,79.9,3.3,3.2,Yes,53.0,2019.0,,,
6,Mike Daum,F,35,31.1,23.9,7.8,16.9,46.2,2.7,6.5,42.5,5.5,6.5,85.1,10.3,1.3,,,,,,
7,R.J. Cole,G,33,37.9,23.7,7.3,18.5,39.4,3.3,9.2,35.9,5.8,7.5,77.0,3.9,6.0,,,,,,
8,Demontrae Jefferson,G,27,37.6,23.3,7.7,18.3,42.0,3.1,8.0,39.4,4.8,5.9,82.3,3.1,4.6,,,,,,
9,Jon Elmore,G,36,38.3,22.7,6.8,15.4,43.9,2.7,7.6,35.6,6.4,7.8,82.6,5.8,6.8,,,,,,
10,Bryson Scott,G,33,31.1,22.6,7.5,16.4,45.7,1.5,5.1,29.6,6.1,7.5,81.8,4.5,2.6,,,,,,
11,Matt Morgan,G,28,34.6,22.5,7.3,14.8,49.2,2.7,7.3,36.9,5.3,6.4,81.7,4.6,3.2,,,,,,
11,Andre Spight,G,38,33.8,22.5,7.7,17.4,44.3,3.4,8.4,40.0,3.7,4.7,78.3,3.9,3.7,,,,,,
