RK,Unnamed: 1,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,Unnamed: 17,Unnamed: 18,2019,Drafted?,Draft Pick,Draft Year
1,Chris Clemons,G,33,36.6,30.1,9.2,20.6,44.8,4.2,11.8,35.7,7.5,8.6,86.9,5.1,2.8,,,,,,
2,Justin Wright-Foreman,G,35,37.8,27.1,9.4,18.5,51.1,3.1,7.4,42.5,5.1,5.9,86.4,4.0,2.9,Yes,53.0,2019.0,Yes,53.0,2019.0
3,Antoine Davis,G,30,37.4,26.1,8.8,21.9,40.0,4.4,11.6,38.0,4.2,4.9,85.7,3.1,3.6,,,,,,
4,Mike Daum,F,33,33.3,25.3,8.7,16.9,51.2,2.0,5.5,37.0,5.9,7.1,83.8,11.7,1.8,,,,,,
5,Markus Howard,G,34,33.6,25.0,7.4,17.6,42.0,3.5,8.8,40.3,6.7,7.5,89.0,4.0,3.9,,,,,,
6,Lamine Diane,F,33,35.3,24.8,10.3,21.2,48.5,0.2,0.7,30.4,4.0,7.6,52.2,11.2,2.1,,,,,,
7,Ja Morant,G,33,36.6,24.5,8.0,16.1,49.9,1.7,4.8,36.3,6.7,8.2,81.3,5.7,10.0,Yes,2.0,2019.0,Yes,2.0,2019.0
8,Jermaine Marrow,G,35,36.4,24.4,7.8,18.5,42.2,2.5,6.8,37.0,6.2,7.7,81.0,4.1,4.9,,,,,,
9,Carsen Edwards,G,36,35.4,24.3,7.7,19.5,39.4,3.8,10.6,35.5,5.1,6.1,83.7,3.6,2.9,Yes,33.0,2019.0,Yes,33.0,2019.0
10,Nick Mayo,F,31,34.8,23.7,7.9,17.1,46.2,1.7,5.3,33.1,6.1,7.1,86.4,8.7,2.3,,,,,,
11,Jordan Davis,G,32,33.8,23.5,8.0,16.9,47.4,1.7,4.7,36.0,5.8,7.2,80.5,4.7,4.7,,,,,,
12,Cameron Young,G,31,36.0,23.5,7.2,14.9,48.2,3.4,7.7,43.7,5.8,7.6,76.6,5.1,1.9,,,,,,
13,Myles Powell,G,34,36.0,23.1,7.4,16.6,44.7,3.1,8.7,36.3,5.1,6.1,84.0,4.0,2.9,,,,,,
14,Jhivvan Jackson,G,29,30.8,22.9,7.7,19.8,38.6,3.6,10.2,35.1,4.0,4.7,84.6,4.1,2.4,,,,,,
15,RJ Barrett,SG,38,35.3,22.6,8.4,18.5,45.4,1.9,6.2,30.8,3.9,5.9,66.5,7.6,4.3,Yes,3.0,2019.0,Yes,3.0,2019.0
16,Zion Williamson,F,33,30.0,22.6,9.0,13.2,68.0,0.7,2.2,33.8,3.9,6.2,64.0,8.9,2.1,Yes,1.0,2019.0,Yes,1.0,2019.0
17,Ty Cockfield,G,32,35.0,22.4,7.4,16.9,43.9,2.2,6.1,35.6,5.4,6.6,82.0,3.6,3.2,,,,,,
18,Matt Morgan,G,31,32.3,22.2,6.9,13.5,51.3,3.3,7.7,43.1,5.0,5.8,86.0,4.5,3.0,,,,,,
19,Justin James,G,32,38.2,22.1,7.1,17.4,40.9,1.6,5.3,29.6,6.3,8.4,74.1,8.5,4.4,Yes,40.0,2019.0,Yes,40.0,2019.0
20,Grant Riller,G,33,35.5,21.9,8.0,14.9,53.8,1.4,4.2,32.9,4.5,5.6,80.6,3.4,4.1,Yes,56.0,2020.0,,,
21,Jon Davis,G,29,37.1,21.7,6.6,15.2,43.3,2.5,7.4,33.8,6.0,7.1,85.4,4.5,3.7,,,,,,
22,Robert Franks,F,27,34.4,21.6,7.4,15.1,49.3,2.8,7.0,39.9,3.9,4.6,84.8,7.2,2.6,,,,,,
23,Jaylin Walker,G,27,36.0,21.6,6.7,17.3,38.7,3.4,9.0,38.3,4.7,5.9,80.4,5.7,2.1,,,,,,
24,Bubba Parham,G,32,33.9,21.4,6.6,15.4,42.5,3.6,9.1,39.7,4.7,5.9,79.4,3.4,3.5,,,,,,
25,R.J. Cole,G,34,35.6,21.4,6.4,15.4,41.5,2.5,6.4,38.7,6.1,7.5,81.9,4.1,6.4,,,,,,
26,Jerrick Harding,G,30,33.9,21.4,7.1,15.0,47.1,2.1,5.8,36.6,5.1,5.9,87.0,3.4,1.4,,,,,,
27,Andrew Kostecka,G,32,33.3,21.3,7.5,14.4,52.3,1.5,3.9,38.1,4.8,5.8,81.3,4.8,2.4,,,,,,
28,Dylan Windler,G,33,33.2,21.3,7.4,13.6,54.0,3.0,7.1,42.9,3.5,4.2,84.7,10.8,2.5,Yes,26.0,2019.0,Yes,26.0,2019.0
29,Yoeli Childs,F,32,33.3,21.2,8.1,15.9,50.7,1.0,3.1,32.3,4.1,5.8,70.8,9.7,2.1,,,,,,
30,Anthony Lamb,F,32,31.6,21.2,7.6,14.7,51.5,1.6,4.3,36.5,4.5,5.9,76.2,7.8,2.3,,,,,,
31,Jordan Ford,G,34,36.9,21.1,7.5,15.3,48.9,2.1,5.0,41.2,4.0,5.0,80.0,2.8,2.5,,,,,,
32,Daishon Smith,G,32,34.7,21.0,6.1,13.8,44.3,3.4,8.6,40.0,5.4,6.3,86.1,4.5,3.9,,,,,,
33,Nathan Knight,F,31,30.6,21.0,7.6,13.2,57.8,0.3,1.3,24.4,5.5,7.5,73.2,8.6,3.5,,,,,,
34,Garrison Mathews,G,36,30.0,20.9,6.2,13.9,44.4,3.2,8.0,40.3,5.3,6.1,86.0,5.5,1.9,,,,,,
35,Sam Merrill,G,35,35.3,20.9,6.5,14.1,46.1,2.5,6.5,37.6,5.4,5.9,90.9,3.9,4.2,Yes,60.0,2020.0,,,
36,Martaveous McKnight,G,32,36.8,20.8,7.1,16.0,44.2,2.3,6.0,38.7,4.4,6.2,70.9,5.0,2.9,,,,,,
37,Tres Tinkle,F,30,36.4,20.8,7.2,14.8,48.3,1.8,5.4,32.9,4.7,6.1,77.0,8.1,3.8,,,,,,
38,JaKeenan Gant,F,31,32.0,20.5,7.9,14.6,54.4,1.4,3.6,37.2,3.3,4.2,78.6,8.6,1.3,,,,,,
39,Tyler Hall,G,32,33.5,20.5,7.3,16.3,44.7,3.6,9.6,37.7,2.3,2.8,83.3,4.7,2.8,,,,,,
40,Terry Taylor,G,33,33.1,20.5,7.8,14.7,53.1,1.5,4.5,34.0,3.3,4.5,74.1,8.9,1.7,,,,,,
41,Eugene German,G,31,32.6,20.4,7.4,15.0,49.0,2.8,6.8,41.4,2.8,4.1,68.8,5.2,2.9,,,,,,
42,Rayjon Tucker,G,30,36.6,20.3,6.2,12.7,49.1,2.4,5.8,41.1,5.5,7.0,77.7,6.7,1.8,,,,,,
43,Jon Elmore,G,37,35.9,20.3,6.3,16.1,39.3,3.1,8.5,36.4,4.5,5.8,78.9,5.1,5.1,,,,,,
44,Fletcher Magee,G,35,31.4,20.3,6.4,14.7,43.9,4.5,10.8,41.9,2.9,3.2,91.0,2.5,1.6,,,,,,
45,Lew Stallworth,G,29,33.4,20.2,7.6,14.4,52.7,1.2,3.3,37.5,3.7,5.0,74.0,5.3,6.2,,,,,,
46,Keaton Wallace,G,32,34.9,20.2,6.7,15.9,42.2,3.8,9.9,38.2,3.0,3.5,85.6,5.0,2.4,,,,,,
47,Max Strus,G,35,37.4,20.1,6.6,15.5,42.9,3.2,8.9,36.3,3.7,4.3,84.2,5.9,2.2,,,,,,
48,Lamar Stevens,F,32,36.9,19.9,7.2,17.0,42.2,0.6,2.8,22.0,4.9,6.4,77.0,7.7,2.1,,,,,,
49,Sa'eed Nelson,G,30,36.5,19.8,6.8,13.3,50.7,0.9,2.8,30.6,5.4,7.6,71.8,5.6,5.2,,,,,,
50,Shizz Alston Jr,G,33,37.2,19.7,6.3,15.5,40.5,3.0,8.6,35.0,4.2,4.6,90.8,2.8,5.0,,,,,,
51,Rui Hachimura,F,37,30.2,19.7,7.4,12.6,59.1,0.4,1.0,41.7,4.4,6.0,73.9,6.5,1.5,Yes,9.0,2019.0,Yes,9.0,2019.0
52,Shamorie Ponds,G,33,35.1,19.7,6.5,14.5,45.3,2.0,5.6,35.3,4.6,5.5,83.6,4.1,5.1,,,,,,
53,James Palmer Jr,G,36,35.2,19.7,5.9,16.1,36.9,1.9,5.9,31.3,6.0,7.8,76.2,4.2,3.0,,,,,,
53,Jeremiah Martin,G,36,34.4,19.7,6.1,13.6,45.1,1.8,5.3,34.6,5.6,7.4,76.2,4.3,4.4,,,,,,
55,David Jenkins Jr,G,32,33.1,19.7,6.4,14.0,45.8,3.5,7.7,45.3,3.3,4.2,79.3,3.4,1.5,,,,,,
56,John Konchar,G,33,34.3,19.5,7.0,12.8,54.6,1.6,4.2,38.1,3.8,5.4,71.3,8.5,5.4,,,,,,
57,Jahaad Proctor,G,31,34.6,19.5,6.8,14.6,46.4,1.8,5.4,33.1,4.1,5.4,77.1,3.8,3.3,,,,,,
58,Dedric Lawson,F,36,32.6,19.4,6.9,14.1,49.0,1.0,2.5,39.3,4.6,5.7,81.5,10.3,1.7,,,,,,
59,Marcquise Reed,G,31,35.4,19.4,6.5,14.8,44.0,1.5,4.4,35.6,4.8,5.7,84.3,5.5,3.1,,,,,,
60,Jarrell Brantley,F,33,34.0,19.4,7.2,13.9,51.7,1.2,3.5,32.8,3.9,4.9,78.5,8.4,2.4,Yes,50.0,2019.0,Yes,50.0,2019.0
61,Colbey Ross,G,34,34.9,19.4,5.3,12.1,43.7,1.9,4.7,39.6,7.0,8.2,85.3,2.9,7.0,,,,,,
62,Caleb Martin,F,34,34.1,19.2,5.9,14.5,40.9,3.1,9.3,33.8,4.3,5.8,73.2,5.1,2.8,,,,,,
63,Terrell Gomez,G,34,37.7,19.2,6.3,14.0,45.0,3.4,8.2,41.9,3.1,3.6,87.7,2.1,2.8,,,,,,
64,Charlie Brown Jr,F,32,35.6,19.0,6.4,14.9,43.0,2.0,5.5,35.6,4.3,5.0,84.5,6.2,1.5,,,,,,
65,Ky Bowman,G,31,39.3,19.0,6.3,15.6,40.4,2.5,6.8,37.4,3.8,5.0,76.1,7.5,4.0,,,,,,
