RK,NAME,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,Unnamed: 20,Unnamed: 21,2024,Drafted?,Draft Pick,Draft Year
1,Tommy Bruner,G,7,33.1,25.6,7.9,17.9,44.0,3.6,7.3,49.0,6.3,7.3,86.3,3.1,2.6,0.7,0.1,3.0,,,,,,
2,Tyler Thomas,G,6,35.7,25.0,8.5,18.7,45.5,4.5,10.3,43.5,3.5,3.7,95.5,4.5,3.5,1.2,0.7,2.3,,,,,,
3,Jaedon LeDee,F,7,35.3,24.0,8.0,14.0,57.1,0.6,2.0,28.6,7.4,9.7,76.5,10.4,1.6,1.4,0.7,2.3,,,,,,
4,Jordan Johnson,G,6,34.3,23.3,7.2,16.3,43.9,3.5,8.7,40.4,5.5,6.3,86.8,3.0,4.2,2.0,0.0,1.5,,,,,,
5,Trey Calvin,G,5,32.6,23.2,8.6,17.4,49.4,2.4,4.8,50.0,3.6,3.8,94.7,1.8,3.0,1.8,0.2,1.6,,,,,,
6,Marcus Foster,G,6,31.5,23.2,8.0,15.8,50.5,2.2,7.3,29.5,5.0,6.0,83.3,5.7,1.5,1.2,0.3,2.7,,,,,,
7,Keion Brooks Jr,F,5,36.0,23.0,8.2,15.6,52.6,1.2,3.4,35.3,5.4,6.8,79.4,7.6,1.8,0.8,1.0,2.2,,,,,,
7,Xavier Johnson,G,5,30.8,23.0,6.2,12.4,50.0,2.2,5.6,39.3,8.4,9.0,93.3,3.2,5.4,1.6,0.6,2.2,,,,,,
7,Zach Edey,C,6,28.5,23.0,7.5,12.7,59.2,0.0,0.0,0.0,8.0,11.0,72.7,11.5,1.0,0.2,2.8,1.8,,,,,,
10,Elijah Pepper,G,5,34.2,22.8,7.0,16.2,43.2,3.8,8.6,44.2,5.0,5.2,96.2,5.0,1.6,1.8,0.6,0.8,,,,,,
11,Tyson Acuff,G,7,35.7,22.6,8.1,15.4,52.8,2.0,5.4,36.8,4.3,5.3,81.1,3.7,2.0,1.1,0.0,1.9,,,,,,
