RK,NAME,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,Unnamed: 17,Unnamed: 18,2021,Drafted?,Draft Pick,Draft Year
356,Clay Mounce,F,25,29.8,13.8,5.2,10.8,48.0,2.0,6.0,32.7,1.5,1.9,79.2,6.3,1.4,,,,,,
357,Jaren Holmes,G,21,33.0,13.8,5.1,12.2,42.2,1.8,4.6,38.1,1.7,2.7,64.3,5.3,2.0,,,,,,
358,Johni Broome,F,30,25.8,13.7,5.7,10.1,57.0,0.0,0.0,0.0,2.3,3.7,61.8,9.0,0.7,,,,,,
359,Monty Scott,G,22,28.9,13.7,4.8,12.7,37.6,1.3,4.1,31.1,2.9,4.6,63.4,5.0,2.6,,,,,,
360,Marcus Sasser,G,29,31.9,13.7,4.6,12.2,38.0,2.7,8.0,33.5,1.8,2.1,85.2,2.6,2.2,,,,,,
361,Cameron Christon,G,24,28.6,13.7,4.5,10.0,45.2,1.8,4.9,36.8,2.9,4.1,70.7,5.2,1.3,,,,,,
362,Travis Evee,G,26,31.0,13.7,4.5,11.2,40.4,2.8,7.2,39.6,1.8,2.1,83.6,2.2,2.3,,,,,,
363,Isaiah Washington,G,16,33.5,13.7,4.8,10.9,43.4,1.0,3.3,30.2,3.2,4.1,77.3,4.9,4.8,,,,,,
364,Charles Pride,G,22,31.6,13.7,4.8,9.8,49.3,1.6,4.0,40.9,2.4,3.1,77.9,7.0,2.5,,,,,,
365,KC Ndefo,F,25,28.8,13.7,5.1,10.1,50.4,0.1,0.7,11.8,3.4,5.8,59.7,6.5,1.5,,,,,,
366,Quincy Guerrier,F,28,32.9,13.7,5.2,10.6,49.3,0.8,2.6,31.1,2.4,3.6,67.3,8.4,0.8,,,,,,
367,Ryan Rollins,G,30,30.2,13.7,4.9,11.3,43.1,1.4,4.2,32.3,2.6,3.3,78.6,5.2,2.5,,,,,,
367,Bryce McBride,G,18,31.9,13.7,3.9,9.9,39.1,1.9,5.5,34.3,4.0,4.8,83.7,2.4,2.6,,,,,,
369,Dalonte Brown,F,23,28.3,13.7,4.9,10.0,48.5,1.8,4.8,37.8,2.1,2.4,85.7,7.4,0.9,,,,,,
369,Dae Dae Grant,G,23,29.9,13.7,4.7,11.7,40.3,2.5,6.0,41.0,1.8,2.0,87.2,3.0,2.3,,,,,,
371,Jayden Martinez,F,19,33.6,13.6,5.0,10.5,47.7,2.0,4.7,42.2,1.6,2.5,66.0,8.5,0.9,,,,,,
372,Zack Bryant,G,21,31.2,13.6,4.7,10.7,44.0,1.2,3.7,33.8,3.0,3.7,80.5,2.6,2.6,,,,,,
372,Tommy Bruner,G,21,32.5,13.6,4.9,12.0,40.5,1.7,5.1,32.7,2.2,2.8,81.0,2.8,4.0,,,,,,
374,Xavier Pinson,G,26,25.6,13.6,4.3,11.2,38.6,1.7,4.9,33.6,3.3,4.0,83.7,2.7,2.9,,,,,,
374,Amadou Sow,F,26,26.0,13.6,5.2,9.0,57.3,0.0,0.5,7.7,3.3,4.0,82.5,7.6,0.6,,,,,,
376,Justin Smith,F,28,32.0,13.6,5.7,10.4,54.5,0.2,0.8,21.7,2.1,3.3,63.0,7.3,1.8,,,,,,
376,Rashad Williams,G,28,28.4,13.6,4.5,12.9,34.5,3.4,9.9,33.9,1.3,1.7,78.7,1.5,0.9,,,,,,
378,Tahj Eaddy,G,33,31.2,13.6,4.9,11.0,44.6,2.0,5.2,38.8,1.8,2.3,77.6,2.9,2.8,,,,,,
379,Alfonso Plummer,G,25,28.2,13.6,5.0,11.2,44.1,2.6,6.7,38.3,1.1,1.4,82.4,2.2,1.0,,,,,,
380,Stef Smith,G,14,29.8,13.6,4.3,10.6,40.3,2.3,6.4,36.0,2.7,3.3,82.6,3.1,1.6,,,,,,
380,Michael Carter,G,14,30.1,13.6,4.1,8.9,46.4,1.1,3.0,38.1,4.1,6.0,69.0,3.4,2.1,,,,,,
382,Mike Miles Jr,G,25,32.9,13.6,4.7,11.4,41.3,1.6,4.6,36.0,2.5,3.0,82.7,3.5,3.1,,,,,,
383,Damian Dunn,G,13,27.8,13.5,3.5,10.6,33.3,0.4,2.1,18.5,6.1,7.9,76.7,4.2,2.2,,,,,,
384,Gorjok Gak,C,23,26.4,13.5,5.4,8.7,61.7,0.0,0.2,0.0,2.7,3.9,70.0,10.3,1.9,,,,,,
385,Bryce Fowler,G,20,31.8,13.5,5.2,12.1,42.6,0.7,2.4,29.8,2.5,3.3,76.9,3.6,3.8,,,,,,
385,Walter Whyte,G,16,31.1,13.5,4.7,11.3,41.4,1.1,4.4,25.7,3.0,4.1,72.7,6.8,0.9,,,,,,
385,Jawaun Newton,G,22,32.5,13.5,5.1,10.5,48.7,1.1,3.5,32.9,2.2,2.7,80.0,4.4,2.2,,,,,,
388,Chase Johnston,G,27,31.8,13.5,4.8,11.3,42.3,2.9,7.8,37.6,1.0,1.2,84.4,2.3,1.7,,,,,,
389,Maizen Fausett,F,23,28.1,13.5,4.8,8.8,54.5,1.3,3.0,41.4,2.7,3.3,80.3,6.9,0.8,,,,,,
390,Jake Wojcik,G,21,33.0,13.5,4.0,9.8,41.0,1.9,4.9,38.2,3.6,4.2,85.4,3.4,1.9,,,,,,
390,KJ Johnson,G,21,30.1,13.5,4.4,9.1,47.9,1.3,3.4,38.9,3.4,4.2,79.8,3.2,2.5,,,,,,
392,Dylan Painter,F,15,30.3,13.5,4.7,9.1,51.5,0.0,0.1,0.0,4.1,5.7,72.1,11.5,1.9,,,,,,
393,Tyreke Locure,G,26,34.6,13.5,4.5,11.2,39.7,2.1,6.3,33.3,2.4,3.3,72.4,5.0,3.1,,,,,,
394,Hyunjung Lee,G,22,29.9,13.5,4.5,8.9,50.8,2.4,5.5,44.2,2.0,2.3,90.0,4.0,2.5,,,,,,
395,Asante Gist,G,16,29.3,13.4,3.7,10.6,34.9,1.4,4.3,33.3,4.6,5.2,89.2,2.0,3.6,,,,,,
395,Connor Kochera,G,16,31.9,13.4,4.6,10.4,44.6,1.6,4.4,35.7,2.6,3.3,79.2,4.8,1.4,,,,,,
397,Payton Willis,G,19,34.4,13.4,4.8,10.4,46.0,2.1,5.3,40.0,1.7,2.3,76.7,3.2,3.1,,,,,,
398,Aamir Simms,F,24,29.7,13.4,5.2,9.7,53.2,0.9,2.3,40.0,2.2,2.6,82.5,6.4,2.7,,,,,,
399,David McCormack,F,29,23.0,13.4,5.3,10.2,51.5,0.0,0.0,100.0,2.8,3.6,79.6,6.1,1.1,,,,,,
400,Spencer Littleson,G,30,34.9,13.4,4.6,9.4,49.5,3.4,7.3,47.2,0.7,0.8,87.5,3.2,1.2,,,,,,
400,Ant Nelson,G,20,31.7,13.4,4.4,11.5,37.8,1.0,3.4,28.4,3.8,5.0,75.8,3.6,3.1,,,,,,
402,Cyrus Largie,G,18,28.4,13.4,5.2,9.5,55.0,0.9,2.3,38.1,2.1,2.9,69.8,6.1,1.3,,,,,,
403,Daeqwon Plowden,G,26,30.0,13.4,5.0,11.3,44.4,1.2,3.5,35.6,2.2,3.0,72.7,7.8,1.2,,,,,,
404,Alimamy Koroma,F,22,22.6,13.4,4.7,9.9,47.2,0.9,2.3,38.0,3.1,4.3,73.4,5.7,0.5,,,,,,
405,Lance Jones,G,25,30.6,13.4,4.3,10.5,40.8,2.1,4.9,42.6,2.7,3.8,70.8,2.9,2.9,,,,,,
406,Taz Sherman,G,28,24.3,13.4,4.3,10.3,41.3,1.7,4.7,35.9,3.2,3.6,87.3,1.8,1.4,,,,,,
407,DeAnthony Tipler Jr,G,20,26.1,13.4,4.4,11.1,39.8,2.8,6.7,41.0,1.8,2.1,85.7,2.5,1.7,,,,,,
408,Sam Griffin,G,26,24.7,13.3,4.8,11.8,40.5,2.3,5.9,39.0,1.5,1.8,84.8,2.0,2.2,,,,,,
408,Romeao Ferguson,G,26,31.2,13.3,5.1,10.6,48.2,1.0,2.7,38.0,2.1,2.9,72.0,5.3,1.9,,,,,,
410,Najee Garvin,F,24,25.7,13.3,5.4,11.5,47.3,0.2,1.1,15.4,2.3,3.7,63.6,7.0,0.7,,,,,,
410,Joey Calcaterra,G,12,30.0,13.3,4.8,11.3,41.9,1.7,4.4,37.7,2.2,2.5,86.7,3.1,1.8,,,,,,
410,Caleb Catto,G,18,30.4,13.3,4.9,11.4,43.2,2.6,6.7,39.2,0.8,1.2,71.4,4.7,1.6,,,,,,
413,Shamar Givance,G,25,31.8,13.3,4.6,10.3,45.0,1.3,3.5,36.4,2.8,3.6,77.5,4.0,4.0,,,,,,
413,Caleb Asberry,G,25,29.0,13.3,4.9,10.1,48.4,2.0,4.8,41.7,1.6,1.9,81.3,4.3,1.9,,,,,,
415,Juan Felix Rodriguez,G,23,33.4,13.3,5.0,12.3,40.4,1.9,5.3,35.5,1.5,2.1,72.9,3.6,3.2,,,,,,
415,Caleb Huffman,G,23,24.1,13.3,5.1,10.9,46.8,1.3,4.0,33.7,1.8,2.5,70.7,3.2,1.7,,,,,,
