RK,NAME,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,Unnamed: 20,Unnamed: 21,2009,Drafted?,Draft Pick,Draft Year
1,Stephen Curry,G,34,33.7,28.6,9.2,20.2,45.4,3.8,9.9,38.7,6.5,7.4,87.6,4.4,5.6,2.5,0.2,3.7,Yes,7.0,2009.0,Yes,7.0,2009.0
2,Lester Hudson,G,32,36.0,27.5,9.8,21.8,44.9,3.3,9.3,35.5,4.6,5.3,88.1,7.9,4.2,2.3,0.6,3.3,Yes,58.0,2009.0,Yes,58.0,2009.0
3,Jermaine Taylor,G,31,31.9,26.2,9.4,19.5,48.0,3.0,7.9,37.6,4.5,5.5,81.2,5.2,1.9,1.3,0.8,2.8,Yes,32.0,2009.0,Yes,32.0,2009.0
4,David Holston,G,32,34.9,25.9,8.4,19.8,42.6,4.6,12.3,37.2,4.5,5.5,82.4,3.7,6.4,3.0,0.0,4.1,,,,,,
5,Stefon Jackson,G,37,36.1,24.5,7.6,17.8,42.7,0.9,2.8,30.8,8.4,10.1,83.4,5.4,1.9,1.1,0.1,2.1,,,,,,
6,Josh Emmanuel Akognon,G,32,35.6,23.9,7.8,19.3,40.1,4.3,11.4,37.2,4.1,4.6,89.2,3.2,1.6,1.0,0.0,2.6,,,,,,
7,Ryan Toolson,G,28,37.1,23.8,7.2,15.5,46.4,2.6,6.8,38.9,6.8,7.3,92.7,3.8,3.1,1.0,0.3,2.5,,,,,,
8,Jodie Meeks,G,36,34.4,23.7,7.3,15.8,46.3,3.3,8.0,40.6,5.9,6.5,90.2,3.4,1.8,1.3,0.1,2.7,Yes,41.0,2009.0,Yes,41.0,2009.0
9,Luke Harangody,F,34,34.2,23.3,8.8,19.2,45.9,0.4,1.1,36.8,5.2,6.7,77.7,11.8,2.1,0.9,0.9,1.8,Yes,52.0,2010.0,,,
10,Ben Woodside,G,33,34.5,23.2,7.1,15.3,46.4,2.0,4.8,42.7,7.0,8.3,84.0,3.2,6.2,1.4,0.2,3.2,,,,,,
11,Jeremy Hazell,G,32,36.3,22.7,7.3,17.2,42.7,3.3,9.1,36.2,4.7,6.4,74.0,3.8,0.9,1.8,0.0,2.2,,,,,,
12,Blake Griffin,F,35,33.3,22.7,8.6,13.1,65.4,0.1,0.2,37.5,5.5,9.3,59.0,14.4,2.3,1.1,1.2,3.3,Yes,1.0,2009.0,Yes,1.0,2009.0
13,Eric Maynor,G,34,35.5,22.4,7.3,15.8,46.3,1.9,5.4,36.1,5.8,7.1,81.5,3.6,6.2,1.7,0.2,3.0,Yes,20.0,2009.0,Yes,20.0,2009.0
14,Chavis Holmes,G,31,33.2,22.0,6.9,13.4,51.3,2.7,6.1,44.1,5.6,6.8,82.9,4.6,3.1,3.4,1.1,2.3,,,,,,
15,Drake Reed,F,33,36.7,21.9,8.3,14.8,56.5,0.5,1.4,37.0,4.7,6.3,74.6,7.5,2.4,0.7,0.6,2.5,,,,,,
16,Toney Douglas,G,35,36.5,21.5,6.8,15.3,44.6,2.4,6.3,38.5,5.4,6.6,81.0,3.9,2.9,1.8,0.4,2.5,Yes,29.0,2009.0,Yes,29.0,2009.0
17,Kevin Tiggs,F,34,33.8,21.4,7.3,13.8,52.9,1.1,3.1,35.2,5.8,7.5,76.6,4.8,2.0,2.1,0.2,3.1,,,,,,
18,Michael Deloach,G,32,36.1,21.4,7.8,17.3,45.5,1.1,3.4,33.0,4.6,6.4,72.1,4.9,2.8,2.0,0.3,3.6,,,,,,
19,Marcus Thornton,G,35,31.9,21.1,7.3,15.5,47.2,2.2,5.7,38.8,4.3,5.7,74.5,5.5,2.1,1.6,0.4,1.8,Yes,43.0,2009.0,Yes,43.0,2009.0
20,James Florence,G,32,34.1,20.8,7.2,17.1,41.9,2.0,6.7,29.6,4.6,6.5,69.9,3.5,3.7,2.3,0.1,3.8,,,,,,
21,Tyler Hansbrough,F,34,30.3,20.7,6.6,12.8,51.4,0.3,0.7,39.1,7.3,8.7,84.1,8.1,1.0,1.2,0.4,1.9,Yes,13.0,2009.0,Yes,13.0,2009.0
22,Seth Curry,G,35,36.5,20.2,6.9,16.7,41.7,2.9,8.4,34.7,3.4,4.1,83.2,4.4,2.3,1.4,0.3,2.3,,,,,,
23,Craig Brackins,F,32,32.5,20.2,7.6,16.0,47.5,0.7,2.3,28.4,4.3,6.2,69.7,9.5,1.3,0.5,0.9,2.3,Yes,21.0,2010.0,,,
24,Dior Lowhorn,F,30,32.3,20.1,7.7,15.9,48.3,1.3,2.9,43.2,3.5,5.1,68.0,6.9,0.8,0.5,0.6,1.5,,,,,,
25,James Harden,G,35,35.8,20.1,6.3,12.9,48.9,1.7,4.7,35.6,5.8,7.7,75.6,5.6,4.2,1.7,0.3,3.4,Yes,3.0,2009.0,Yes,3.0,2009.0
26,Troy Jackson,G,30,37.1,20.0,6.4,15.2,42.4,1.2,4.6,26.1,5.9,7.7,77.4,4.7,3.2,2.5,0.4,2.4,,,,,,
27,Darryl Proctor,F,32,39.7,20.0,7.9,17.0,46.7,0.1,0.4,14.3,4.0,5.7,70.9,8.8,2.0,1.4,0.7,2.2,,,,,,
27,D.J. Rivera,F,32,35.4,20.0,7.2,15.2,47.3,1.5,4.7,31.5,4.1,6.5,63.5,6.5,1.1,1.8,0.4,1.8,,,,,,
29,Mike Rose,F,31,36.5,20.0,6.7,14.2,47.2,3.2,6.6,48.1,3.4,4.4,75.9,5.3,2.5,1.7,0.1,2.4,,,,,,
30,Devan Downey,G,31,32.9,19.8,7.5,17.0,43.8,1.7,4.8,34.7,3.2,4.3,74.6,2.8,4.5,2.9,0.1,3.5,,,,,,
31,Jerel McNeal,G,35,35.0,19.8,6.7,15.3,44.2,2.5,6.2,39.8,3.9,5.2,73.8,4.5,3.9,2.0,0.6,2.9,,,,,,
32,John Cantrell,G,32,35.0,19.8,7.7,15.1,50.7,1.0,2.7,35.6,3.5,4.9,70.9,5.1,2.2,2.3,0.3,1.9,,,,,,
33,Charles Jenkins,G,32,35.1,19.7,6.3,15.7,40.4,1.0,3.1,31.3,6.0,7.3,82.1,4.8,4.3,1.4,0.5,3.3,Yes,44.0,2011.0,,,
34,Chris Warren,G,11,34.4,19.6,6.0,15.5,38.6,2.3,7.4,30.9,5.4,6.3,85.5,1.5,4.0,2.5,0.0,2.5,,,,,,
35,Dionte Christmas,G,34,35.0,19.5,6.4,15.5,41.4,3.1,8.9,35.2,3.5,4.6,75.3,5.8,2.9,1.5,0.1,2.9,,,,,,
36,Aubrey Coleman,G,32,32.8,19.4,6.8,16.0,42.6,0.3,1.5,20.8,5.4,7.1,76.3,8.2,2.4,2.3,0.0,2.5,,,,,,
37,Alex Barnett,F,28,34.1,19.4,6.9,15.7,44.2,1.9,4.7,40.9,3.6,4.4,82.0,5.6,1.9,1.3,1.2,2.3,,,,,,
38,Aaron Jackson,G,34,36.7,19.3,6.7,12.1,55.4,1.4,3.4,40.5,4.5,5.5,80.9,5.5,5.7,1.6,0.1,3.0,,,,,,
