RK,NAME,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,Unnamed: 20,Unnamed: 21,2011,Drafted?,Draft Pick,Draft Year
32,John Jenkins,G,32,34.5,19.5,5.9,12.8,46.2,3.1,7.7,40.8,4.5,5.0,89.4,3.0,1.2,0.8,0.3,1.6,Yes,23.0,2012.0,,,
35,Nate Wolters,G,31,33.2,19.5,6.5,14.5,44.8,1.4,3.3,40.8,5.2,6.5,79.6,4.6,6.1,1.3,0.2,2.2,Yes,38.0,2013.0,,,
36,Dominique Morrison,F,31,34.9,19.5,6.7,13.0,51.4,1.3,3.2,40.4,4.8,6.2,78.0,5.0,2.1,0.6,0.5,1.6,,,,,,
36,Gilberto Clavell,F,31,30.1,19.5,6.9,12.3,55.9,0.1,0.2,28.6,5.6,8.0,70.9,7.3,0.9,0.6,0.1,3.1,,,,,,
38,Randy Culpepper,G,35,36.0,19.3,6.5,14.9,43.6,1.9,5.8,32.4,4.4,5.8,75.9,2.9,3.1,2.0,0.3,2.3,,,,,,
39,John Holland,F,34,33.9,19.2,6.0,15.5,38.6,2.2,6.8,33.0,5.1,5.9,86.0,5.8,1.6,1.4,0.3,2.1,,,,,,
40,Chris Warren,G,34,34.9,19.1,5.7,14.1,40.3,2.8,8.2,34.1,4.9,5.3,92.8,2.2,3.8,0.7,0.1,2.1,,,,,,
41,C.J. Wilkerson,G,29,37.1,19.0,5.5,11.9,46.5,1.5,3.9,39.3,6.4,8.7,74.5,3.4,1.8,1.0,0.1,3.2,,,,,,
42,Troy Gillenwater,F,27,30.3,18.9,6.4,14.0,45.9,1.4,3.8,36.3,4.7,6.3,74.9,6.3,0.6,0.4,1.0,2.3,,,,,,
43,Keion Bell,G,20,29.7,18.9,5.6,13.6,41.3,1.7,5.3,32.1,6.0,8.0,75.0,4.1,2.4,0.8,0.2,4.2,,,,,,
44,Andrew Warren,G,32,36.7,18.8,6.1,14.8,41.4,2.4,6.1,39.0,4.2,4.9,85.9,5.5,1.8,1.7,0.3,1.8,,,,,,
45,C.J. Reed,G,34,38.7,18.8,6.0,15.4,38.9,1.6,4.9,32.7,5.3,6.4,81.7,3.8,4.8,1.6,0.0,3.0,,,,,,
